evaluation_mode,model_name,horizon,mae_mean,mae_std,rmse_mean,mape_mean,latency_ms_mean
entity_specific_upper_bound,entity_specific_linear_regression,1,3.6334937182795435,0.460960731114793,4.925918067100892,0.10088537789531395,19.717517774552107
entity_specific_upper_bound,entity_specific_linear_regression,5,5.520275706078735,0.43822144647366384,7.317651090167815,0.15297038171273783,14.826888839403788
entity_specific_upper_bound,entity_specific_linear_regression,10,5.965862840798292,0.564023094261814,7.959287003944361,0.16540730386441502,17.461280959347885
zero_shot,global_linear_regression,1,3.6293983404228918,0.45645477403831564,4.92683492745839,0.10094955228344103,0.16730496038993195
zero_shot,persistence,1,3.7163334610089707,0.5471423043345218,5.184980757873329,0.10278275098872175,0.8197777594129244
zero_shot,global_mlp_regressor,1,3.7353038810421975,0.42596545442437145,5.022096231310123,0.10303323036699592,0.7984310699005922
zero_shot,global_ua_mstcn_lite,1,3.9342469372639886,0.7310053064226298,5.304721275086921,0.10422146526179532,39386.95340008578
zero_shot,global_random_forest,1,4.495921806006286,1.117437765789534,6.105778122472195,0.11712625439903923,30.909659961859386
zero_shot,global_linear_regression,5,5.50299708413598,0.4175282086214362,7.308265524579858,0.15307663780505426,0.14882317433754597
zero_shot,global_mlp_regressor,5,5.72209402806524,0.4552453411325408,7.555722188076124,0.15779091457723524,0.8990759961307049
zero_shot,persistence,5,6.268153239627849,0.575679833365951,8.497119693071896,0.172179056719983,1.4505210953454177
zero_shot,global_random_forest,5,6.293115394626322,1.5150881081991454,8.447395812429907,0.16364007159813698,28.841191437095404
zero_shot,global_ua_mstcn_lite,5,6.327535575977233,1.5853341153254643,8.591925032815674,0.16146332923107334,39310.7013715845
zero_shot,global_linear_regression,10,5.952797778373982,0.515907241721656,7.957347545261733,0.16588919272565322,0.14285743236541742
zero_shot,global_mlp_regressor,10,6.2857780625903565,0.682518795927886,8.289279586390847,0.17196811904387221,0.7890554455419382
zero_shot,global_random_forest,10,6.641891392195959,1.5093188655117962,8.869028554809944,0.17491084960337255,30.314037731538217
zero_shot,global_ua_mstcn_lite,10,6.648118023026851,1.5035782339095078,8.92337384624875,0.17242405913600367,39327.09201854757
zero_shot,persistence,10,6.931813732056348,0.5955108475918085,9.389849300192035,0.1916759715167852,1.346208310375611
