fold_id,machine_id,model_name,evaluation_mode,horizon,mae,rmse,mape,latency_ms
0,m_3330,persistence,zero_shot,1,3.4965460964561683,4.745592297228798,0.0807126287816941,1.1047925800085068
0,m_3330,global_linear_regression,zero_shot,1,3.4318230698390497,4.556133992421963,0.079759562080084,0.4162471741437912
0,m_3330,global_random_forest,zero_shot,1,3.672593013631184,4.836757347277344,0.0856502857008949,60.9015841037035
0,m_3330,global_ua_mstcn_lite,zero_shot,1,3.41665067287003,4.566754710005223,0.0787763717147525,40480.45386001468
0,m_3330,entity_specific_linear_regression,entity_specific_upper_bound,1,3.4852405281758325,4.595534389151353,0.0811309142376211,24.587498977780346
0,m_3330,persistence,zero_shot,5,6.201402243589744,8.215996450792517,0.14336886945628,0.7222071290016174
0,m_3330,global_linear_regression,zero_shot,5,5.412899819241722,6.969144420154836,0.1267116075170049,0.1057088375091552
0,m_3330,global_random_forest,zero_shot,5,5.36752295523932,6.888307709119725,0.1265250086440811,33.84683467447758
0,m_3330,global_ua_mstcn_lite,zero_shot,5,5.411244653670556,7.001534106239148,0.1257072426382448,40399.890484288335
0,m_3330,entity_specific_linear_regression,entity_specific_upper_bound,5,5.48901713553504,7.032494381860809,0.1290671462045987,18.655959516763687
0,m_3330,persistence,zero_shot,10,6.996763445181166,9.079500284148256,0.164002390315625,8.49541649222374
0,m_3330,global_linear_regression,zero_shot,10,5.874471683368361,7.501508074050392,0.1382839998346272,0.5190409719944
0,m_3330,global_random_forest,zero_shot,10,5.795195651506773,7.401666181370594,0.1370358762132132,41.378166526556015
0,m_3330,global_ua_mstcn_lite,zero_shot,10,5.81035118972433,7.481490230738215,0.1359811321015934,40363.85765299201
0,m_3330,entity_specific_linear_regression,entity_specific_upper_bound,10,5.9779736960917385,7.581602740035708,0.1416691120850229,15.387706458568571
0,m_2773,persistence,zero_shot,1,4.737291833200107,6.514667701475137,0.1935449413071095,0.9673349559307098
0,m_2773,global_linear_regression,zero_shot,1,4.379219273426209,5.866916946785283,0.1844563125280228,0.1354143023490905
0,m_2773,global_random_forest,zero_shot,1,4.58425164469975,5.933765387751251,0.2075842975111107,24.02658388018608
0,m_2773,global_ua_mstcn_lite,zero_shot,1,4.361942141465821,5.792798530392261,0.1881790458597873,40342.5449449569
0,m_2773,entity_specific_linear_regression,entity_specific_upper_bound,1,4.3233370322347,5.758469203601829,0.1816673243271766,24.68862384557724
0,m_2773,persistence,zero_shot,5,6.553575721153846,8.758216592488612,0.2681682688603565,0.7251258939504623
0,m_2773,global_linear_regression,zero_shot,5,5.442123901277574,7.149975814307392,0.2393249974635807,0.2113338559865951
0,m_2773,global_random_forest,zero_shot,5,5.597159196630376,7.27720969228461,0.2587945734180277,27.027791365981106
0,m_2773,global_ua_mstcn_lite,zero_shot,5,5.579641912190139,7.313076444367479,0.2506439472998067,40227.738527581096
0,m_2773,entity_specific_linear_regression,entity_specific_upper_bound,5,5.377526578266876,7.108489395734692,0.2338371755210777,13.33370804786682
0,m_2773,persistence,zero_shot,10,6.963667872212175,9.296023538040297,0.2926707772901412,0.822208821773529
0,m_2773,global_linear_regression,zero_shot,10,5.618318505296801,7.461543339727304,0.2553100664864122,0.1145396381616592
0,m_2773,global_random_forest,zero_shot,10,5.837927530062017,7.658240099020015,0.2760757438404206,13.499291613698006
0,m_2773,global_ua_mstcn_lite,zero_shot,10,5.791431215994375,7.669748646472136,0.266815487497777,40371.2483625859
0,m_2773,entity_specific_linear_regression,entity_specific_upper_bound,10,5.511235911596628,7.383512691058524,0.24689782227775,16.42383448779583
0,m_639,persistence,zero_shot,1,3.41976418864908,4.790927390384892,0.0867803089102214,0.700460746884346
0,m_639,global_linear_regression,zero_shot,1,3.354709237856011,4.550861501548467,0.0856209990391988,0.1300834119319915
0,m_639,global_random_forest,zero_shot,1,3.568417972717959,4.808360408305089,0.0911679053608131,25.21916851401329
0,m_639,global_ua_mstcn_lite,zero_shot,1,3.357018864607861,4.595834655794979,0.0853505500901962,40324.65015165508
0,m_639,entity_specific_linear_regression,entity_specific_upper_bound,1,3.339039090014752,4.531637118168208,0.0855002458816368,15.854334458708763
0,m_639,persistence,zero_shot,5,6.14322749732906,8.088892964490787,0.1558328771277276,0.7268339395523071
0,m_639,global_linear_regression,zero_shot,5,5.210734591287591,6.799627278623968,0.1337437790527343,0.1053772866725921
0,m_639,global_random_forest,zero_shot,5,5.211193283246955,6.786812414512507,0.1342386368323749,14.243748039007189
0,m_639,global_ua_mstcn_lite,zero_shot,5,5.154183604405432,6.823455263242867,0.1303569497595179,40257.72565230727
0,m_639,entity_specific_linear_regression,entity_specific_upper_bound,5,5.225219031001231,6.797827676682191,0.1349305196808901,16.307124868035316
0,m_639,persistence,zero_shot,10,6.8107293550331525,8.875198045219548,0.1733593864974844,0.7169153541326523
0,m_639,global_linear_regression,zero_shot,10,5.583304745796236,7.284424625400252,0.1437286502264173,0.0769179314374923
0,m_639,global_random_forest,zero_shot,10,5.575073672406378,7.252005463430875,0.144148244382619,13.125916942954063
0,m_639,global_ua_mstcn_lite,zero_shot,10,5.655858706875943,7.404554460516736,0.1443047891869592,40285.08769348264
0,m_639,entity_specific_linear_regression,entity_specific_upper_bound,10,5.6126064562746345,7.2842235191955185,0.1457968284363274,15.152208507061005
0,m_1508,persistence,zero_shot,1,3.435753064215295,4.884095320674032,0.0920284428479507,0.595415011048317
0,m_1508,global_linear_regression,zero_shot,1,3.4190160411032062,4.728763472771601,0.0923934591330213,0.1168344169855117
0,m_1508,global_random_forest,zero_shot,1,3.7910672105446808,5.153850860992832,0.1023393681677928,13.14925029873848
0,m_1508,global_ua_mstcn_lite,zero_shot,1,3.3877963625689285,4.698727776841057,0.0910366788244903,40524.121237918735
0,m_1508,entity_specific_linear_regression,entity_specific_upper_bound,1,3.3572404526858923,4.678275498222839,0.0904636774422039,19.426792860031128
0,m_1508,persistence,zero_shot,5,6.43203625801282,8.773249769903217,0.172088547423883,0.6689596921205521
0,m_1508,global_linear_regression,zero_shot,5,5.56691882430627,7.403607032142791,0.1518560280445215,0.1210831105709075
0,m_1508,global_random_forest,zero_shot,5,5.588408733643091,7.388725857051999,0.1528018018286815,28.094960376620293
0,m_1508,global_ua_mstcn_lite,zero_shot,5,5.500721080981179,7.409597420402547,0.1484776583089384,40270.37135697901
0,m_1508,entity_specific_linear_regression,entity_specific_upper_bound,5,5.5778325354784934,7.441896453150073,0.1519657000792745,13.70524987578392
0,m_1508,persistence,zero_shot,10,7.104361730627553,9.668473021024145,0.1917514909287491,0.6376262754201889
0,m_1508,global_linear_regression,zero_shot,10,5.933184521406539,7.906479259045404,0.1631924305510602,0.0940002501010894
0,m_1508,global_random_forest,zero_shot,10,5.994241469766642,7.905484522294914,0.1649476558914775,81.62570744752884
0,m_1508,global_ua_mstcn_lite,zero_shot,10,5.897899255627912,7.890463630049783,0.1595828834637651,40380.46186044812
0,m_1508,entity_specific_linear_regression,entity_specific_upper_bound,10,5.916527616536468,7.942228189183533,0.1625540014094924,22.479500621557236
1,m_694,persistence,zero_shot,1,2.90746236344258,4.233214701291066,0.0621399279949632,1.3497509062290192
1,m_694,global_linear_regression,zero_shot,1,2.932701406729707,4.112655816374557,0.0608130894549854,0.2714581787586212
1,m_694,global_random_forest,zero_shot,1,5.776008898218822,7.8297180792244125,0.096983060022794,50.69787427783013
1,m_694,global_ua_mstcn_lite,zero_shot,1,4.005838311909404,5.101188728259902,0.0738739861512679,39205.43976128101
1,m_694,entity_specific_linear_regression,entity_specific_upper_bound,1,2.9155538680804014,4.08802267247367,0.0608034869402996,32.098956406116486
1,m_694,persistence,zero_shot,5,4.9369160657051285,7.146468467593495,0.1040660273286215,0.7275417447090149
1,m_694,global_linear_regression,zero_shot,5,4.738389775740799,6.480804183715488,0.0941299766078432,0.0981241464614868
1,m_694,global_random_forest,zero_shot,5,8.473734186293605,11.696590053155816,0.1397218929725187,15.04816859960556
1,m_694,global_ua_mstcn_lite,zero_shot,5,8.698414281761504,12.074859552565536,0.1429820313113926,39189.03384543955
1,m_694,entity_specific_linear_regression,entity_specific_upper_bound,5,4.7604922464797195,6.45161703790493,0.0955598177352558,14.537541195750237
1,m_694,persistence,zero_shot,10,5.4529204339963835,7.880715901291879,0.1143051015018596,0.7056668400764465
1,m_694,global_linear_regression,zero_shot,10,5.374282167784436,7.359634496814164,0.1044313795952159,0.0762082636356353
1,m_694,global_random_forest,zero_shot,10,8.622186275701031,11.65223194021599,0.1444419942670322,27.997665107250217
1,m_694,global_ua_mstcn_lite,zero_shot,10,8.561784471978104,11.565935598785224,0.1433455775699597,38945.57297229767
1,m_694,entity_specific_linear_regression,entity_specific_upper_bound,10,5.387056784919319,7.272760179127149,0.1061731001417819,26.852792128920555
1,m_2014,persistence,zero_shot,1,4.189684918731682,5.845345536773503,0.1074815499948551,0.7650423794984818
1,m_2014,global_linear_regression,zero_shot,1,4.188261733543643,5.706896699979411,0.1089050780169177,0.1069586724042892
1,m_2014,global_random_forest,zero_shot,1,7.317526400810976,10.433900769062909,0.1485387869187253,24.87783133983612
1,m_2014,global_ua_mstcn_lite,zero_shot,1,5.902326805111859,7.984836352666473,0.1250887361078803,39059.01397205889
1,m_2014,entity_specific_linear_regression,entity_specific_upper_bound,1,4.228437164452549,5.727320159701571,0.1091105318050086,16.3444597274065
1,m_2014,persistence,zero_shot,5,6.365676749465812,9.332311954217529,0.1680914705275221,2.4592094123363495
1,m_2014,global_linear_regression,zero_shot,5,6.3407420034638085,9.091516959534442,0.1686213961672248,0.1582503318786621
1,m_2014,global_random_forest,zero_shot,5,9.943316971411598,14.14900770642391,0.2036412456962971,39.56824913620949
1,m_2014,global_ua_mstcn_lite,zero_shot,5,10.088223396785017,14.526823272805746,0.2023592394118627,39041.38905368745
