run_id,scope,entity,selection_role,split,model_name,horizon,n_predictions,mae,rmse,mape,p50_pinball,p90_raw_pinball,p90_calibrated_pinball,p50_coverage,p90_raw_coverage,p90_calibrated_coverage,raw_interval_width,calibrated_interval_width,raw_crossing_count,raw_crossing_rate,calibrated_crossing_count,calibrated_crossing_rate,calibration_margin,status
full_ua_mstcn_broad_20260428,service_broad,app_1063,broad_service,validation,full_ua_mstcn_broad,1,1660,59.728729248046875,91.99505615234375,0.05352924019098282,29.864364624023438,16.67143440246582,16.67143440246582,0.5512048192771084,0.9283132530120481,0.9283132530120481,108.88861846923828,108.88861846923828,0,0.0,0,0.0,0.0,pass
full_ua_mstcn_broad_20260428,service_broad,app_1063,broad_service,validation,full_ua_mstcn_broad,5,1660,81.72911071777344,130.72145080566406,0.07867515087127686,40.86455535888672,24.806325912475586,24.806325912475586,0.596987951807229,0.9331325301204819,0.9331325301204819,169.84686279296875,169.84686279296875,0,0.0,0,0.0,0.0,pass
full_ua_mstcn_broad_20260428,service_broad,app_1063,broad_service,validation,full_ua_mstcn_broad,10,1660,101.1378173828125,160.1657257080078,0.10290826857089996,50.56890869140625,30.0855655670166,30.0855655670166,0.6102409638554217,0.9397590361445783,0.9397590361445783,203.5477752685547,203.5477752685547,0,0.0,0,0.0,0.0,pass
full_ua_mstcn_broad_20260428,service_broad,app_1063,broad_service,test,full_ua_mstcn_broad,1,1659,62.286190032958984,104.30413818359375,0.07430725544691086,31.143095016479492,16.78196144104004,16.78196144104004,0.5979505726341169,0.9493670886075949,0.9493670886075949,116.53390502929688,116.53390502929688,0,0.0,0,0.0,0.0,pass
full_ua_mstcn_broad_20260428,service_broad,app_1063,broad_service,test,full_ua_mstcn_broad,5,1659,98.70701599121094,178.25820922851562,0.1219947561621666,49.35350799560547,33.991798400878906,33.991798400878906,0.6395418927064497,0.9632308619650392,0.9632308619650392,242.6148681640625,242.6148681640625,0,0.0,0,0.0,0.0,pass
full_ua_mstcn_broad_20260428,service_broad,app_1063,broad_service,test,full_ua_mstcn_broad,10,1659,146.4406280517578,294.397705078125,0.18480338156223297,73.2203140258789,41.93600082397461,41.93600082397461,0.67209162145871,0.9674502712477396,0.9674502712477396,266.0823059082031,266.0823059082031,0,0.0,0,0.0,0.0,pass
full_ua_mstcn_broad_20260428,service_broad,app_1215,broad_service,validation,full_ua_mstcn_broad,1,1660,5.428443431854248,7.489639759063721,0.028307858854532242,2.714221715927124,1.3724757432937622,1.3724757432937622,0.4674698795180723,0.903012048192771,0.903012048192771,9.767646789550781,9.767646789550781,0,0.0,0,0.0,0.0,pass
full_ua_mstcn_broad_20260428,service_broad,app_1215,broad_service,validation,full_ua_mstcn_broad,5,1660,7.289903163909912,10.142142295837402,0.03779689222574234,3.644951581954956,1.903275728225708,1.8583500385284424,0.4036144578313253,0.8566265060240964,0.9,11.546225547790527,13.82974910736084,0,0.0,0,0.0,2.2835183143615723,pass
full_ua_mstcn_broad_20260428,service_broad,app_1215,broad_service,validation,full_ua_mstcn_broad,10,1660,8.324295043945312,11.705466270446777,0.04332968592643738,4.162147521972656,2.1308164596557617,2.052743434906006,0.34879518072289156,0.8457831325301205,0.9,13.207539558410645,16.785999298095703,0,0.0,0,0.0,3.5784640312194824,pass
full_ua_mstcn_broad_20260428,service_broad,app_1215,broad_service,test,full_ua_mstcn_broad,1,1659,4.1328558921813965,5.7321672439575195,0.020146554335951805,2.0664279460906982,1.0176770687103271,1.0176770687103271,0.4424352019288728,0.9439421338155516,0.9439421338155516,9.166336059570312,9.166336059570312,0,0.0,0,0.0,0.0,pass
full_ua_mstcn_broad_20260428,service_broad,app_1215,broad_service,test,full_ua_mstcn_broad,5,1659,5.693074703216553,7.970024108886719,0.027465548366308212,2.8465373516082764,1.2998030185699463,1.3335565328598022,0.36528028933092227,0.8884870403857745,0.9361060880048222,10.59447956085205,12.877999305725098,0,0.0,0,0.0,2.2835183143615723,pass
full_ua_mstcn_broad_20260428,service_broad,app_1215,broad_service,test,full_ua_mstcn_broad,10,1659,6.734036922454834,9.158763885498047,0.032218512147665024,3.367018461227417,1.4752390384674072,1.5146387815475464,0.2917420132610006,0.8728149487643159,0.9391199517781796,12.294690132141113,15.873150825500488,0,0.0,0,0.0,3.5784640312194824,pass
full_ua_mstcn_broad_20260428,service_broad,app_1254,broad_service,validation,full_ua_mstcn_broad,1,1660,26.089725494384766,42.33672332763672,0.06168872490525246,13.044862747192383,8.173432350158691,8.173432350158691,0.4987951807228916,0.9048192771084337,0.9048192771084337,46.62474060058594,46.62474060058594,0,0.0,0,0.0,0.0,pass
full_ua_mstcn_broad_20260428,service_broad,app_1254,broad_service,validation,full_ua_mstcn_broad,5,1660,43.04322814941406,67.43209838867188,0.1029893234372139,21.52161407470703,15.31019401550293,15.31019401550293,0.5951807228915663,0.9301204819277108,0.9301204819277108,100.77793884277344,100.77793884277344,0,0.0,0,0.0,0.0,pass
full_ua_mstcn_broad_20260428,service_broad,app_1254,broad_service,validation,full_ua_mstcn_broad,10,1660,48.8794059753418,72.1980209350586,0.11789939552545547,24.4397029876709,16.206153869628906,16.206153869628906,0.6096385542168675,0.9210843373493975,0.9210843373493975,104.48872375488281,104.48872375488281,0,0.0,0,0.0,0.0,pass
full_ua_mstcn_broad_20260428,service_broad,app_1254,broad_service,test,full_ua_mstcn_broad,1,1659,25.253381729125977,40.50352096557617,0.060516107827425,12.626690864562988,7.546903610229492,7.546903610229492,0.5087402049427366,0.9119951778179626,0.9119951778179626,47.01596450805664,47.01596450805664,0,0.0,0,0.0,0.0,pass
full_ua_mstcn_broad_20260428,service_broad,app_1254,broad_service,test,full_ua_mstcn_broad,5,1659,44.250648498535156,66.88880920410156,0.11098078638315201,22.125324249267578,15.309311866760254,15.309311866760254,0.620253164556962,0.9300783604581073,0.9300783604581073,103.22969055175781,103.22969055175781,0,0.0,0,0.0,0.0,pass
full_ua_mstcn_broad_20260428,service_broad,app_1254,broad_service,test,full_ua_mstcn_broad,10,1659,50.218284606933594,71.80669403076172,0.12928679585456848,25.109142303466797,17.414852142333984,17.414852142333984,0.6268836648583485,0.9113924050632911,0.9113924050632911,107.262451171875,107.262451171875,0,0.0,0,0.0,0.0,pass
full_ua_mstcn_broad_20260428,service_broad,app_1276,broad_service,validation,full_ua_mstcn_broad,1,1660,6.939684867858887,9.980182647705078,0.022377969697117805,3.4698424339294434,1.858355164527893,1.8569293022155762,0.5114457831325301,0.8933734939759036,0.9,11.434560775756836,11.953543663024902,0,0.0,0,0.0,0.518975019454956,pass
full_ua_mstcn_broad_20260428,service_broad,app_1276,broad_service,validation,full_ua_mstcn_broad,5,1660,9.182524681091309,13.149429321289062,0.029507078230381012,4.591262340545654,2.4418792724609375,2.4355316162109375,0.4771084337349398,0.886144578313253,0.9,15.618278503417969,16.787620544433594,0,0.0,0,0.0,1.169349193572998,pass
