run_id,scope,entity,selection_role,row_count,selection_rule,normalization_source,prefix_rows,train_split_end,train_valid_split_end,load_mean_prefix,burst_cv_prefix,peak_to_mean_prefix,request_cores_source,request_cores_used,request_fallback_used
full_ua_mstcn_broad_20260428,service_broad,app_2754,broad_service,11520,all 139 broad services; descriptors use train+validation prefix only,train prefix only,9792,8063,9792,453.4908142089844,0.28069543838500977,1.6548810005187988,median_container_request_cores,4.0,False
full_ua_mstcn_broad_20260428,service_broad,app_2819,broad_service,11520,all 139 broad services; descriptors use train+validation prefix only,train prefix only,9792,8063,9792,354.76092529296875,0.30341148376464844,2.32099986076355,median_container_request_cores,8.0,False
full_ua_mstcn_broad_20260428,service_broad,app_2856,broad_service,11520,all 139 broad services; descriptors use train+validation prefix only,train prefix only,9792,8063,9792,439.0299072265625,0.5899893641471863,4.2873616218566895,median_container_request_cores,8.0,False
full_ua_mstcn_broad_20260428,service_broad,app_2895,broad_service,11520,all 139 broad services; descriptors use train+validation prefix only,train prefix only,9792,8063,9792,70.1971664428711,0.3296458423137665,3.905190944671631,median_container_request_cores,8.0,False
full_ua_mstcn_broad_20260428,service_broad,app_2899,broad_service,11520,all 139 broad services; descriptors use train+validation prefix only,train prefix only,9792,8063,9792,356.1974182128906,0.3867109417915344,1.8271328210830688,median_container_request_cores,4.0,False
full_ua_mstcn_broad_20260428,service_broad,app_2965,broad_service,11520,all 139 broad services; descriptors use train+validation prefix only,train prefix only,9792,8063,9792,971.4015502929688,0.2441311776638031,2.434461832046509,median_container_request_cores,4.0,False
full_ua_mstcn_broad_20260428,service_broad,app_2989,broad_service,11520,all 139 broad services; descriptors use train+validation prefix only,train prefix only,9792,8063,9792,23.24142837524414,0.2626013159751892,6.021144866943359,median_container_request_cores,4.0,False
full_ua_mstcn_broad_20260428,service_broad,app_3073,broad_service,11520,all 139 broad services; descriptors use train+validation prefix only,train prefix only,9792,8063,9792,105.50508880615234,0.22804057598114014,1.980757474899292,median_container_request_cores,4.0,False
full_ua_mstcn_broad_20260428,service_broad,app_3136,broad_service,11520,all 139 broad services; descriptors use train+validation prefix only,train prefix only,9792,8063,9792,639.3717041015625,0.327030211687088,1.7809462547302246,median_container_request_cores,4.0,False
full_ua_mstcn_broad_20260428,service_broad,app_3183,broad_service,11520,all 139 broad services; descriptors use train+validation prefix only,train prefix only,9792,8063,9792,181.4325408935547,0.5754138231277466,6.058009147644043,median_container_request_cores,8.0,False
full_ua_mstcn_broad_20260428,service_broad,app_3238,broad_service,11520,all 139 broad services; descriptors use train+validation prefix only,train prefix only,9792,8063,9792,575.1138916015625,0.4417742192745209,1.7098525762557983,median_container_request_cores,4.0,False
full_ua_mstcn_broad_20260428,service_broad,app_3275,broad_service,11520,all 139 broad services; descriptors use train+validation prefix only,train prefix only,9792,8063,9792,323.5025329589844,0.748938262462616,6.078715801239014,median_container_request_cores,16.0,False
full_ua_mstcn_broad_20260428,service_broad,app_3422,broad_service,11520,all 139 broad services; descriptors use train+validation prefix only,train prefix only,9792,8063,9792,19.987472534179688,0.2316911667585373,2.7697348594665527,median_container_request_cores,4.0,False
full_ua_mstcn_broad_20260428,service_broad,app_3472,broad_service,11520,all 139 broad services; descriptors use train+validation prefix only,train prefix only,9792,8063,9792,147.5408935546875,0.31420448422431946,3.2063426971435547,median_container_request_cores,4.0,False
full_ua_mstcn_broad_20260428,service_broad,app_3511,broad_service,11520,all 139 broad services; descriptors use train+validation prefix only,train prefix only,9792,8063,9792,579.21826171875,0.4267611801624298,2.24326491355896,median_container_request_cores,4.0,False
full_ua_mstcn_broad_20260428,service_broad,app_3514,broad_service,11520,all 139 broad services; descriptors use train+validation prefix only,train prefix only,9792,8063,9792,295.7885437011719,0.24857543408870697,2.2576940059661865,median_container_request_cores,4.0,False
full_ua_mstcn_broad_20260428,service_broad,app_3632,broad_service,11520,all 139 broad services; descriptors use train+validation prefix only,train prefix only,9792,8063,9792,1630.689697265625,0.45275047421455383,2.2343101501464844,median_container_request_cores,4.0,False
