run_id,scope,entity,selection_role,horizon,calibration_split,calibration_quantile,p90_additive_margin
full_ua_mstcn_broad_20260428,service_broad,app_2660,broad_service,1,validation,0.9,0.0
full_ua_mstcn_broad_20260428,service_broad,app_2660,broad_service,5,validation,0.9,3.802694320678711
full_ua_mstcn_broad_20260428,service_broad,app_2660,broad_service,10,validation,0.9,3.9662017822265625
full_ua_mstcn_broad_20260428,service_broad,app_2695,broad_service,1,validation,0.9,1.499293327331543
full_ua_mstcn_broad_20260428,service_broad,app_2695,broad_service,5,validation,0.9,3.7178359031677246
full_ua_mstcn_broad_20260428,service_broad,app_2695,broad_service,10,validation,0.9,9.310781478881836
full_ua_mstcn_broad_20260428,service_broad,app_2754,broad_service,1,validation,0.9,0.38284844160079956
full_ua_mstcn_broad_20260428,service_broad,app_2754,broad_service,5,validation,0.9,2.865116834640503
full_ua_mstcn_broad_20260428,service_broad,app_2754,broad_service,10,validation,0.9,4.8987812995910645
full_ua_mstcn_broad_20260428,service_broad,app_2819,broad_service,1,validation,0.9,0.0
full_ua_mstcn_broad_20260428,service_broad,app_2819,broad_service,5,validation,0.9,2.126887559890747
full_ua_mstcn_broad_20260428,service_broad,app_2819,broad_service,10,validation,0.9,0.9467035531997681
full_ua_mstcn_broad_20260428,service_broad,app_2856,broad_service,1,validation,0.9,2.1749963760375977
full_ua_mstcn_broad_20260428,service_broad,app_2856,broad_service,5,validation,0.9,12.78039836883545
full_ua_mstcn_broad_20260428,service_broad,app_2856,broad_service,10,validation,0.9,31.678754806518555
full_ua_mstcn_broad_20260428,service_broad,app_2895,broad_service,1,validation,0.9,0.9253264665603638
full_ua_mstcn_broad_20260428,service_broad,app_2895,broad_service,5,validation,0.9,4.605457305908203
full_ua_mstcn_broad_20260428,service_broad,app_2895,broad_service,10,validation,0.9,7.928478717803955
full_ua_mstcn_broad_20260428,service_broad,app_2899,broad_service,1,validation,0.9,0.0
full_ua_mstcn_broad_20260428,service_broad,app_2899,broad_service,5,validation,0.9,7.688969135284424
full_ua_mstcn_broad_20260428,service_broad,app_2899,broad_service,10,validation,0.9,12.045807838439941
full_ua_mstcn_broad_20260428,service_broad,app_2965,broad_service,1,validation,0.9,0.0
full_ua_mstcn_broad_20260428,service_broad,app_2965,broad_service,5,validation,0.9,4.179324150085449
full_ua_mstcn_broad_20260428,service_broad,app_2965,broad_service,10,validation,0.9,4.466670036315918
full_ua_mstcn_broad_20260428,service_broad,app_2989,broad_service,1,validation,0.9,0.041934769600629807
full_ua_mstcn_broad_20260428,service_broad,app_2989,broad_service,5,validation,0.9,0.3711591958999634
full_ua_mstcn_broad_20260428,service_broad,app_2989,broad_service,10,validation,0.9,0.3731165826320648
full_ua_mstcn_broad_20260428,service_broad,app_3073,broad_service,1,validation,0.9,0.0
full_ua_mstcn_broad_20260428,service_broad,app_3073,broad_service,5,validation,0.9,0.3994520604610443
full_ua_mstcn_broad_20260428,service_broad,app_3073,broad_service,10,validation,0.9,0.5788847804069519
full_ua_mstcn_broad_20260428,service_broad,app_3136,broad_service,1,validation,0.9,0.0
full_ua_mstcn_broad_20260428,service_broad,app_3136,broad_service,5,validation,0.9,1.7712881565093994
full_ua_mstcn_broad_20260428,service_broad,app_3136,broad_service,10,validation,0.9,5.96221399307251
full_ua_mstcn_broad_20260428,service_broad,app_3183,broad_service,1,validation,0.9,2.3259077072143555
full_ua_mstcn_broad_20260428,service_broad,app_3183,broad_service,5,validation,0.9,11.728086471557617
full_ua_mstcn_broad_20260428,service_broad,app_3183,broad_service,10,validation,0.9,25.44570541381836
full_ua_mstcn_broad_20260428,service_broad,app_3238,broad_service,1,validation,0.9,0.0
full_ua_mstcn_broad_20260428,service_broad,app_3238,broad_service,5,validation,0.9,1.3090054988861084
full_ua_mstcn_broad_20260428,service_broad,app_3238,broad_service,10,validation,0.9,4.08374547958374
full_ua_mstcn_broad_20260428,service_broad,app_3275,broad_service,1,validation,0.9,165.50927734375
full_ua_mstcn_broad_20260428,service_broad,app_3275,broad_service,5,validation,0.9,235.075927734375
full_ua_mstcn_broad_20260428,service_broad,app_3275,broad_service,10,validation,0.9,316.2909851074219
