actual_required_capacity,reactive_capacity,lagged_capacity,predictive_capacity,forecast_p50,forecast_p90
0.31661054539096634,0.31661054539096634,0.31661054539096634,0.4429486549005067,0.33748516974208187,0.4429486549005067
0.3677403977490421,0.4166105453909663,0.31661054539096634,0.46605745825481204,0.3367196777933163,0.46605745825481204
0.5354917834349209,0.5166105453909663,0.3677403977490421,0.48740566141392455,0.33653488501674855,0.48740566141392455
0.5057059866615502,0.6166105453909663,0.4677403977490421,0.3874056614139245,0.3483779408054564,0.4826065265028963
0.4118121599425571,0.6166105453909663,0.5057059866615502,0.4874056614139245,0.3721081798871574,0.503613009271281
0.40555859128001887,0.6166105453909663,0.4118121599425571,0.4874056614139245,0.3610909225885649,0.4837361079629221
0.3742666086157172,0.6166105453909663,0.40555859128001887,0.4874056614139245,0.3622696737593075,0.4665167385400092
0.37642464753775035,0.6166105453909663,0.3742666086157172,0.49029815101810953,0.38388913964848964,0.49029815101810953
0.3672922540658528,0.6166105453909663,0.37642464753775035,0.5256007899580277,0.3829758562360718,0.5256007899580277
0.3804557206093447,0.6166105453909663,0.3672922540658528,0.5259516957250469,0.38772446868783506,0.5259516957250469
0.3850830876939505,0.6166105453909663,0.3804557206093447,0.5259516957250469,0.37772692055560625,0.515775469763077
0.36013188439256794,0.6166105453909663,0.3850830876939505,0.5320105966319524,0.3992481339972368,0.5320105966319524
0.33656398487484473,0.6166105453909663,0.36013188439256794,0.5320105966319524,0.39749879249561126,0.5136988512294756
0.3639989911670171,0.6166105453909663,0.33656398487484473,0.5320105966319524,0.3875861327047399,0.5065761435216442
0.46315762303490854,0.6166105453909663,0.3639989911670171,0.5320105966319524,0.3978109532982004,0.5159809124269554
0.38696957341960225,0.6166105453909663,0.46315762303490854,0.5320105966319524,0.3961799888919781,0.5231551308652546
0.35557414895650696,0.6166105453909663,0.38696957341960225,0.5320105966319524,0.38896940256967233,0.5085047197315979
0.35083808697208324,0.6166105453909663,0.35557414895650696,0.4320105966319524,0.3738357756707624,0.4792394506426096
0.38404281595163975,0.6166105453909663,0.35083808697208324,0.48678657063153824,0.37013823003875723,0.48678657063153824
0.36773724540698,0.6166105453909663,0.38404281595163975,0.517819913171872,0.3941581680890889,0.517819913171872
0.3921341588868291,0.6166105453909663,0.36773724540698,0.5185780714696269,0.3785347820818108,0.5185780714696269
0.4135116967767062,0.6166105453909663,0.3921341588868291,0.5185780714696269,0.3679836031100265,0.49037850877263567
0.4075895704599881,0.6166105453909663,0.4135116967767062,0.5185780714696269,0.3619782789074643,0.4805956001641193
0.451942675420572,0.6166105453909663,0.4075895704599881,0.5185780714696269,0.37425807973803105,0.479703985116605
0.37455571084490175,0.6166105453909663,0.451942675420572,0.5185780714696269,0.3608738500836476,0.4683946110029617
