app_du,model_name,horizon,mae,rmse,mape,latency_ms
app_9733,persistence,1,8.429344524380546,12.125508591111837,0.020649671160578316,1.8333755433559418
app_9733,linear_regression,1,7.912642715529585,11.50885007010441,0.019301774067088922,25.964250788092613
app_9733,random_forest,1,8.225170111138345,11.821237452431893,0.020194891229839317,53893.09891499579
app_9733,mlp_regressor,1,8.684547913391363,12.575333991982143,0.021026242557881655,1170.342916622758
app_9733,ua_mstcn_lite_quantile_forest,1,8.413813851155778,12.3380166959805,0.0205356531111588,16512.25327886641
app_9733,persistence,5,14.257880608974428,21.06077050838966,0.03458693662976876,0.8088760077953339
app_9733,linear_regression,5,13.183108451279853,19.415774375402037,0.03220297648270634,26.960916817188263
app_9733,random_forest,5,12.760903080329193,18.652173009312843,0.0313263474596447,55596.74829244614
app_9733,mlp_regressor,5,12.821139774056274,18.366587946209503,0.03158566377642871,1702.712457627058
app_9733,ua_mstcn_lite_quantile_forest,5,12.51958363898955,17.988775301913243,0.03111808679145975,16326.382776722312
app_9733,persistence,10,17.933369499698703,25.154227168898302,0.044520392823454526,2.7188342064619064
app_9733,linear_regression,10,16.40108402797016,22.95674452985388,0.04116209821581293,30.796334147453308
app_9733,random_forest,10,14.321726892288401,20.381598942714124,0.03569133363659823,54605.032708495855
app_9733,mlp_regressor,10,15.08378548603977,20.719294702384495,0.03802434193674293,5203.225791454315
app_9733,ua_mstcn_lite_quantile_forest,10,14.395466656800117,20.07373671460613,0.036361999186814056,16466.026777401567
app_4038,persistence,1,52.73862509991963,77.94957513266213,0.018956007357406747,0.8682068437337875
app_4038,linear_regression,1,47.18745410538069,69.25644998628823,0.016854793491549107,29.88220751285553
app_4038,random_forest,1,52.88781043477226,76.48479751550146,0.019044918319709555,53347.69816696644
app_4038,mlp_regressor,1,50.62920034345545,72.27639027016481,0.018324432360134223,1365.0912921875715
app_4038,ua_mstcn_lite_quantile_forest,1,53.85030903189927,78.06189327080726,0.019323260631489043,16760.48190395037
app_4038,persistence,5,100.58384615384522,136.78260411805292,0.03622828519431843,0.8501242846250534
app_4038,linear_regression,5,91.99021926232132,123.66825121033021,0.03332450188262383,31.535498797893524
app_4038,random_forest,5,92.17601243934779,124.76844471812866,0.03355133817190751,56526.03153884411
app_4038,mlp_regressor,5,93.33633188349134,122.49430593974903,0.03413961748385513,1668.4290003031492
app_4038,ua_mstcn_lite_quantile_forest,5,94.26217706163726,128.31049124987098,0.03415949975801308,16630.777195716895
app_4038,persistence,10,123.46184448462829,163.4697822883837,0.04472720095912813,0.6947498768568039
app_4038,linear_regression,10,112.28064490942151,147.46629753258998,0.041151794642446796,38.94166462123394
app_4038,random_forest,10,110.88972718623415,144.86350884812623,0.040407869826979956,56426.14375054836
app_4038,mlp_regressor,10,109.72474542325972,144.18829928709366,0.04017799242950987,4816.888500005007
app_4038,ua_mstcn_lite_quantile_forest,10,112.5733558211964,147.3347306616609,0.040943784318408,17149.813695500292
app_3136,persistence,1,14.567384492406067,30.39345075129309,0.01792677918235339,0.8239187300205231
app_3136,linear_regression,1,14.726149857650132,32.74604770834435,0.018283401274889297,62.27479130029678
app_3136,random_forest,1,15.923301048701386,35.15417215012706,0.019210807099517897,54375.088665634394
app_3136,mlp_regressor,1,22.012500046288558,48.72451648205209,0.028407236307419925,1255.2156653255224
app_3136,ua_mstcn_lite_quantile_forest,1,17.811954496603644,43.7622676550905,0.021138200749471175,16805.015192056693
app_3136,persistence,5,25.71203926282051,69.72011797689835,0.03169347338359261,0.7387921214103699
app_3136,linear_regression,5,26.663699413333838,72.36539460256598,0.03328306198269125,29.10025045275688
app_3136,random_forest,5,25.998167081852806,66.8384301455113,0.031511880572410125,58062.960082665086
app_3136,mlp_regressor,5,34.04409383583435,81.39732533088113,0.04450706254419079,1475.4304997622967
app_3136,ua_mstcn_lite_quantile_forest,5,27.924785668916737,70.79401051439368,0.03389056700364871,16611.087654406823
app_3136,persistence,10,37.71743861764115,96.38007838798346,0.04723395382566609,5.268959328532219
app_3136,linear_regression,10,38.55611945914963,98.65733118833656,0.0484839719760996,46.53245769441128
app_3136,random_forest,10,36.95855559142458,88.91738539990996,0.04616060902558404,57852.220417931676
app_3136,mlp_regressor,10,49.33369173854736,119.78221101713147,0.06590216921570997,2930.3852915763855
app_3136,ua_mstcn_lite_quantile_forest,10,37.533144306185505,91.48296266321778,0.04668591464380156,16604.241027186312
app_4371,persistence,1,6.895391686650686,10.382340796419808,0.023568276602689384,0.8489582687616348
app_4371,linear_regression,1,6.154644068570486,9.553925263414515,0.021254694875100098,35.60824692249298
app_4371,random_forest,1,6.207443810925873,9.498151017215495,0.021621557697646163,54662.42908500135
