outcome_taxonomy,services,mean_sla_delta,mean_over_delta,mean_actions_delta,service_share_pct,load_share_pct
"SLA improved, Over improved",6,-0.00370592948717945,-12.409668816306757,147.0,4.316546762589928,6.474915986127861
"SLA improved, Actions worsened",7,-0.008155906593406542,13.108515279896498,154.42857142857142,5.0359712230215825,4.6668321380910855
"Over improved, SLA worsened",87,0.025122955349248438,-15.105825629909754,250.3448275862069,62.589928057553955,47.934205403332676
All worsened,12,0.006460336538461509,7.0593382345159155,144.66666666666666,8.633093525179856,4.923545680440939
Near-neutral,3,0.0,-0.7038670452230468,37.333333333333336,2.158273381294964,2.9851536637584055
Other mixed,24,-0.010792267628205158,35.34617204116434,-194.95833333333334,17.26618705035971,33.01534712824903
