cohort_label,app_du,metric,predictive_minus_reactive,load_weight
top10,app_1063,over_provisioning,1.340213916061993,26.600729166666664
top10,app_1063,scaling_actions,-147.0,26.600729166666664
top10,app_1063,sla_violation,-0.0042067307692307,26.600729166666664
top10,app_1063,average_capacity,1.5918044632778954,26.600729166666664
top10,app_141,over_provisioning,-12.188714949387688,432.4953481674383
top10,app_141,scaling_actions,264.0,432.4953481674383
top10,app_141,sla_violation,0.0036057692307692,432.4953481674383
top10,app_141,average_capacity,-3.893308167432636,432.4953481674383
top10,app_1826,over_provisioning,-0.06832976110765321,1.7327870370370368
top10,app_1826,scaling_actions,2.0,1.7327870370370368
top10,app_1826,sla_violation,0.0258413461538462,1.7327870370370368
top10,app_1826,average_capacity,-0.04055359891659971,1.7327870370370368
top10,app_2241,over_provisioning,0.37267366813692093,10.81736284722222
top10,app_2241,scaling_actions,-123.0,10.81736284722222
top10,app_2241,sla_violation,0.021634615384615398,10.81736284722222
top10,app_2241,average_capacity,0.8183238727410744,10.81736284722222
top10,app_3073,over_provisioning,-0.06980829326923077,1.61355005787037
top10,app_3073,scaling_actions,-14.0,1.61355005787037
top10,app_3073,sla_violation,0.0024038461538461,1.61355005787037
top10,app_3073,average_capacity,-0.0042067307692308376,1.61355005787037
top10,app_3641,over_provisioning,-0.28384194711007527,2.6197459490740744
top10,app_3641,scaling_actions,-120.0,2.6197459490740744
top10,app_3641,sla_violation,0.15564903846153838,2.6197459490740744
top10,app_3641,average_capacity,-0.16943646260724687,2.6197459490740744
top10,app_512,over_provisioning,0.3165281667308528,7.821172164351851
top10,app_512,scaling_actions,-203.0,7.821172164351851
top10,app_512,sla_violation,0.0318509615384616,7.821172164351851
top10,app_512,average_capacity,0.6110149747356854,7.821172164351851
top10,app_565,over_provisioning,0.06388316880009359,8.447068865740741
top10,app_565,scaling_actions,-97.0,8.447068865740741
top10,app_565,sla_violation,0.0558894230769231,8.447068865740741
top10,app_565,average_capacity,0.357765003365758,8.447068865740741
top10,app_6658,over_provisioning,0.35726743452125675,12.37700347222222
top10,app_6658,scaling_actions,-315.0,12.37700347222222
top10,app_6658,sla_violation,0.035456730769230796,12.37700347222222
top10,app_6658,average_capacity,0.5966347691891656,12.37700347222222
top10,app_7876,over_provisioning,2.960646890132388,62.200391338734576
top10,app_7876,scaling_actions,229.0,62.200391338734576
top10,app_7876,sla_violation,0.0030048076923076955,62.200391338734576
top10,app_7876,average_capacity,5.119219110702563,62.200391338734576
broad,app_1063,over_provisioning,12.404211418229949,1724.242101620371
broad,app_1063,scaling_actions,134.0,1724.242101620371
broad,app_1063,sla_violation,-0.009615384615384602,1724.242101620371
broad,app_1063,average_capacity,28.679501939440826,1724.242101620371
broad,app_1215,over_provisioning,-15.18072914889835,143.96744317129634
broad,app_1215,scaling_actions,418.0,143.96744317129634
broad,app_1215,sla_violation,0.0,143.96744317129634
broad,app_1215,average_capacity,-7.5469786539635635,143.96744317129634
broad,app_1254,over_provisioning,10.422197724619707,372.0490571759261
broad,app_1254,scaling_actions,80.0,372.0490571759261
broad,app_1254,sla_violation,-0.007812499999999999,372.0490571759261
broad,app_1254,average_capacity,18.117670754137762,372.0490571759261
broad,app_1276,over_provisioning,-29.02468188403616,290.17774884259296
broad,app_1276,scaling_actions,276.0,290.17774884259296
broad,app_1276,sla_violation,0.010817307692307702,290.17774884259296
broad,app_1276,average_capacity,-17.479038411692088,290.17774884259296
broad,app_141,over_provisioning,11.317140759227954,4416.671716898138
broad,app_141,scaling_actions,-243.0,4416.671716898138
broad,app_141,sla_violation,-0.0084134615384615,4416.671716898138
broad,app_141,average_capacity,96.23511778281909,4416.671716898138
broad,app_1499,over_provisioning,2.844815153294462,184.7748148148147
broad,app_1499,scaling_actions,147.0,184.7748148148147
broad,app_1499,sla_violation,0.006009615384615401,184.7748148148147
broad,app_1499,average_capacity,10.498089681745114,184.7748148148147
broad,app_1552,over_provisioning,46.542564705893824,814.9648475115742
broad,app_1552,scaling_actions,-180.0,814.9648475115742
broad,app_1552,sla_violation,-0.0144230769230769,814.9648475115742
broad,app_1552,average_capacity,79.8199285863002,814.9648475115742
broad,app_1658,over_provisioning,-10.206100600484277,649.2882430555552
broad,app_1658,scaling_actions,74.0,649.2882430555552
broad,app_1658,sla_violation,-0.001201923076923,649.2882430555552
broad,app_1658,average_capacity,16.756863942784946,649.2882430555552
broad,app_1675,over_provisioning,3.0043159514042017,469.1396969907413
broad,app_1675,scaling_actions,86.0,469.1396969907413
broad,app_1675,sla_violation,0.0066105769230769,469.1396969907413
broad,app_1675,average_capacity,13.538529508061515,469.1396969907413
broad,app_17,over_provisioning,-5.4911287478280295,57.81390711805531
broad,app_17,scaling_actions,532.0,57.81390711805531
broad,app_17,sla_violation,0.0048076923076923,57.81390711805531
broad,app_17,average_capacity,-3.4558283372878478,57.81390711805531
broad,app_1797,over_provisioning,-23.17668804557797,450.6645758101856
broad,app_1797,scaling_actions,338.0,450.6645758101856
broad,app_1797,sla_violation,0.0144230769230769,450.6645758101856
broad,app_1797,average_capacity,-14.251923306759977,450.6645758101856
broad,app_1825,over_provisioning,-19.1506530501044,466.5039612268518
broad,app_1825,scaling_actions,265.0,466.5039612268518
broad,app_1825,sla_violation,0.0066105769230769005,466.5039612268518
broad,app_1825,average_capacity,-8.355022061540552,466.5039612268518
broad,app_1826,over_provisioning,1.6122963930544394,117.42055729166655
broad,app_1826,scaling_actions,122.0,117.42055729166655
broad,app_1826,sla_violation,0.0078125,117.42055729166655
broad,app_1826,average_capacity,4.908599124026864,117.42055729166655
broad,app_2024,over_provisioning,-12.745498598525119,151.99382609953693
broad,app_2024,scaling_actions,323.0,151.99382609953693
broad,app_2024,sla_violation,0.0012019230769231002,151.99382609953693
broad,app_2024,average_capacity,-6.651607901511063,151.99382609953693
broad,app_2128,over_provisioning,-7.91670243109083,116.32563425925908
broad,app_2128,scaling_actions,530.0,116.32563425925908
broad,app_2128,sla_violation,0.0006009615384615,116.32563425925908
broad,app_2128,average_capacity,-3.1976138770042866,116.32563425925908
broad,app_2241,over_provisioning,8.45246024106568,702.3015729166673
broad,app_2241,scaling_actions,-305.0,702.3015729166673
broad,app_2241,sla_violation,0.013822115384615401,702.3015729166673
broad,app_2241,average_capacity,38.04777937001484,702.3015729166673
broad,app_2264,over_provisioning,-17.381571973794088,526.0319178240736
broad,app_2264,scaling_actions,102.0,526.0319178240736
broad,app_2264,sla_violation,0.0006009615384615,526.0319178240736
broad,app_2264,average_capacity,4.936028470366551,526.0319178240736
broad,app_2296,over_provisioning,-20.97085858173758,231.8634592013888
broad,app_2296,scaling_actions,192.0,231.8634592013888
broad,app_2296,sla_violation,0.015625,231.8634592013888
broad,app_2296,average_capacity,-12.186213612425718,231.8634592013888
broad,app_2324,over_provisioning,-3.105471907785777,195.13801967592505
broad,app_2324,scaling_actions,125.0,195.13801967592505
broad,app_2324,sla_violation,0.005408653846153799,195.13801967592505
broad,app_2324,average_capacity,3.810603496493769,195.13801967592505
broad,app_2497,over_provisioning,-17.340282505814265,342.5719162037036
broad,app_2497,scaling_actions,304.0,342.5719162037036
