app_du,horizon,p50_coverage,p90_coverage,interval_width
app_9733,1,0.4880095923261391,0.9616306954436451,20.971056677421707
app_9733,5,0.5306490384615384,0.953125,27.197794182653208
app_9733,10,0.5033152501506932,0.9487643158529234,28.99879670417182
app_4038,1,0.4910071942446043,0.9406474820143885,114.52271145976553
app_4038,5,0.4651442307692308,0.8978365384615384,157.82945847878412
app_4038,10,0.4731766124171187,0.8625678119349005,164.40136808382113
app_3136,1,0.500599520383693,0.9370503597122302,29.537694782991213
app_3136,5,0.5102163461538461,0.9266826923076923,33.502381065624746
app_3136,10,0.515370705244123,0.9101868595539482,39.17061613989252
app_4371,1,0.4670263788968825,0.9574340527577938,16.850660165090105
app_4371,5,0.48257211538461536,0.9489182692307693,19.427002996278134
app_4371,10,0.46112115732368897,0.9373116335141651,22.367782672189623
app_498,1,0.5239808153477218,0.9514388489208633,22.711675529579423
app_498,5,0.5240384615384616,0.9260817307692307,29.465339423457287
app_498,10,0.49427365883062085,0.9150090415913201,32.06670699503146
app_442,1,0.3597122302158273,0.7889688249400479,134.7395300393186
app_442,5,0.3395432692307692,0.8533653846153846,174.52807361444852
app_442,10,0.31705846895720313,0.8161543098251959,170.93647205675907
app_2819,1,0.5605515587529976,0.9400479616306955,32.533343709197375
app_2819,5,0.5534855769230769,0.9278846153846154,47.76509880014472
app_2819,10,0.5424954792043399,0.917420132610006,47.411642551608615
app_5159,1,0.4442446043165468,0.9316546762589928,12.137576838563481
app_5159,5,0.19110576923076922,0.7836538461538461,16.05011580644465
app_5159,10,0.19168173598553345,0.869198312236287,18.274521620401696
app_7908,1,0.5071942446043165,0.9616306954436451,128.61217195604866
app_7908,5,0.5024038461538461,0.9302884615384616,137.41038375200876
app_7908,10,0.5238095238095238,0.9240506329113924,147.08856921992069
app_4220,1,0.5317745803357314,0.9124700239808153,87.08317757159729
app_4220,5,0.5150240384615384,0.8948317307692307,121.9778884424272
app_4220,10,0.5256178420735382,0.8800482218203737,145.80936875199987
app_4456,1,0.5185851318944844,0.9844124700239808,82.77532173007059
app_4456,5,0.49158653846153844,0.9813701923076923,110.36116498199911
app_4456,10,0.4948764315852923,0.9783001808318263,116.91625426558059
app_888,1,0.4748201438848921,0.9214628297362111,15.707435580227825
app_888,5,0.47475961538461536,0.8774038461538461,18.731353342450284
app_888,10,0.47799879445449067,0.8487040385774564,20.076909608902785
app_4832,1,0.5815347721822542,0.9574340527577938,96.87997606743349
app_4832,5,0.5594951923076923,0.9429086538461539,113.78227374734658
app_4832,10,0.5406871609403255,0.9324894514767933,118.45303622742841
app_2965,1,0.18165467625899281,0.9730215827338129,298.6688833752713
app_2965,5,0.12379807692307693,0.7157451923076923,201.02221116201196
app_2965,10,0.13562386980108498,0.37492465340566605,89.96750427802588
app_7876,1,0.38489208633093525,0.8723021582733813,173.99503686476524
app_7876,5,0.2980769230769231,0.7902644230769231,283.4898399029335
app_7876,10,0.323086196503918,0.810126582278481,427.4395796157192
app_56,1,0.4934052757793765,0.9646282973621103,12.473256491339463
app_56,5,0.5240384615384616,0.9537259615384616,14.007325566029827
app_56,10,0.5123568414707655,0.9451476793248945,14.844389252876434
app_9081,1,0.47002398081534774,0.9568345323741008,9.225155477046695
app_9081,5,0.4717548076923077,0.9296875,11.159982040160259
app_9081,10,0.4394213381555154,0.9125979505726342,11.460845531835663
app_9541,1,0.42685851318944845,0.9424460431654677,33.49056041923717
app_9541,5,0.3719951923076923,0.9044471153846154,49.140530817657705
app_9541,10,0.36106088004822184,0.892706449668475,56.32429133830882
app_141,1,0.48980815347721823,0.959832134292566,251.94447399868483
app_141,5,0.5126201923076923,0.9320913461538461,332.46687616648
app_141,10,0.5117540687160941,0.9071729957805907,356.12201940804056
app_5420,1,0.512589928057554,0.9688249400479616,17.82591856404321
app_5420,5,0.5318509615384616,0.9573317307692307,21.66516875751825
app_5420,10,0.515370705244123,0.9566003616636528,22.97336677274283
app_7505,1,0.43225419664268583,0.8926858513189448,10.630109411601593
app_7505,5,0.4308894230769231,0.8713942307692307,15.961873467154009
app_7505,10,0.4358047016274864,0.8559373116335142,19.283168328537016
app_5657,1,0.49760191846522783,0.9514388489208633,163.4589440847587
app_5657,5,0.49158653846153844,0.9483173076923077,198.40620439330948
app_5657,10,0.4767932489451477,0.9421338155515371,199.31224823410787
