model_name,horizon,mae_mean,mae_std,rmse_mean,mape_mean,latency_ms_mean
linear_regression,1,19.999104432897326,21.81210681410605,42.098003395104364,0.03947594583257772,32.6816900197765
persistence,1,20.4076142625468,21.941536046711,44.1152786136424,0.039181861992352386,1.0248675486809915
mlp_regressor,1,23.684466375661547,28.912674973071976,49.01595281055262,0.04726928285881513,1494.3795146809207
random_forest,1,26.316620623675195,35.419549077236006,63.679721024082745,0.041923961462251975,65030.964796397864
ua_mstcn_lite_quantile_forest,1,27.938536768984804,38.28089235602038,66.1463994662403,0.043569704633616126,11691.567577158126
linear_regression,5,34.24969445747051,44.05795554161968,75.64975068453306,0.06701564521220126,33.5700101480424
persistence,5,34.63803873535785,40.33171436136587,80.93906017600308,0.06595250813870622,2.3747959690128297
random_forest,5,37.728186057626864,48.51623638028253,81.92071262873023,0.06294873087804134,69119.24181295652
mlp_regressor,5,38.395431776168536,53.36046903141091,82.60444591437778,0.079553199294503,1606.8944752001935
ua_mstcn_lite_quantile_forest,5,39.745713376900085,50.56140216291269,86.3917162513997,0.06376570083055717,11673.293253317548
linear_regression,10,43.46276373345237,60.00820119560765,94.04920445928042,0.08415863345498316,35.221887135998806
random_forest,10,44.91241390834773,57.02136395472847,91.85685605178756,0.07601483892259055,69896.2248253147
persistence,10,45.0981351193909,57.363847404346686,104.18765838134962,0.08501484216229545,1.3837387396706093
ua_mstcn_lite_quantile_forest,10,45.67699320793752,57.97735383236884,94.90410582029675,0.0734422035881515,11735.22394264845
mlp_regressor,10,49.11679309119961,70.58175245814094,103.87096981241572,0.10047485967119708,2255.6759400306632
