metric,equal_weighted_mean_delta,equal_weighted_ci_low,equal_weighted_ci_high,equal_weighted_stability,equal_weighted_median_delta,equal_weighted_q25_delta,equal_weighted_q75_delta,equal_weighted_iqr_delta,services_improved,services_worsened,services_unchanged,load_weighted_mean_delta,load_weighted_ci_low,load_weighted_ci_high,load_weighted_stability
sla_violation,0.0138480561704482,0.0035408091795794,0.0271128770060874,stable degradation,0.0036057692307692,0.0,0.0087139423076923,0.0087139423076923,27,101,11,0.0025736774974788,-0.0057127897053012,0.0124961034469034,not stable
over_provisioning,-2.633069417800343,-6.952694994571448,2.328307930601446,not stable,-8.175623632450282,-17.666625838879163,2.215803011799622,19.882428850678785,95,44,0,4.61855766805784,-4.981028823181467,15.025583659692591,not stable
scaling_actions,150.4460431654676,114.04946043165468,184.993345323741,stable degradation,193.0,22.5,295.0,272.5,32,107,0,-0.5674840316669573,-64.25736129283152,68.2446545052356,not stable
