cohort_label,services,mean_coverage_ratio,mean_container_hit_ratio,forecast_winner,forecast_winner_mae,forecast_runner_up,forecast_runner_up_mae,pred_vs_reactive_sla_equal_delta,pred_vs_reactive_sla_equal_ci_low,pred_vs_reactive_sla_equal_ci_high,pred_vs_reactive_sla_equal_stability,pred_vs_reactive_sla_equal_sign,pred_vs_reactive_sla_equal_median_delta,pred_vs_reactive_sla_equal_q25_delta,pred_vs_reactive_sla_equal_q75_delta,pred_vs_reactive_sla_equal_iqr_delta,pred_vs_reactive_sla_services_improved,pred_vs_reactive_sla_services_worsened,pred_vs_reactive_sla_services_unchanged,pred_vs_reactive_sla_load_delta,pred_vs_reactive_sla_load_ci_low,pred_vs_reactive_sla_load_ci_high,pred_vs_reactive_sla_load_stability,pred_vs_reactive_over_equal_delta,pred_vs_reactive_over_equal_ci_low,pred_vs_reactive_over_equal_ci_high,pred_vs_reactive_over_equal_stability,pred_vs_reactive_over_equal_sign,pred_vs_reactive_over_equal_median_delta,pred_vs_reactive_over_equal_q25_delta,pred_vs_reactive_over_equal_q75_delta,pred_vs_reactive_over_equal_iqr_delta,pred_vs_reactive_over_services_improved,pred_vs_reactive_over_services_worsened,pred_vs_reactive_over_services_unchanged,pred_vs_reactive_over_load_delta,pred_vs_reactive_over_load_ci_low,pred_vs_reactive_over_load_ci_high,pred_vs_reactive_over_load_stability,pred_vs_reactive_actions_equal_delta,pred_vs_reactive_actions_equal_ci_low,pred_vs_reactive_actions_equal_ci_high,pred_vs_reactive_actions_equal_stability,pred_vs_reactive_actions_equal_sign,pred_vs_reactive_actions_equal_median_delta,pred_vs_reactive_actions_equal_q25_delta,pred_vs_reactive_actions_equal_q75_delta,pred_vs_reactive_actions_equal_iqr_delta,pred_vs_reactive_actions_services_improved,pred_vs_reactive_actions_services_worsened,pred_vs_reactive_actions_services_unchanged,pred_vs_reactive_actions_load_delta,pred_vs_reactive_actions_load_ci_low,pred_vs_reactive_actions_load_ci_high,pred_vs_reactive_actions_load_stability,pred_vs_reactive_capacity_equal_delta,pred_vs_reactive_capacity_equal_ci_low,pred_vs_reactive_capacity_equal_ci_high,pred_vs_reactive_capacity_equal_stability,pred_vs_reactive_capacity_equal_sign,pred_vs_reactive_capacity_equal_median_delta,pred_vs_reactive_capacity_equal_q25_delta,pred_vs_reactive_capacity_equal_q75_delta,pred_vs_reactive_capacity_equal_iqr_delta,pred_vs_reactive_capacity_services_improved,pred_vs_reactive_capacity_services_worsened,pred_vs_reactive_capacity_services_unchanged,pred_vs_reactive_capacity_load_delta,pred_vs_reactive_capacity_load_ci_low,pred_vs_reactive_capacity_load_ci_high,pred_vs_reactive_capacity_load_stability,promotion_required,broad_role
top10,10,0.9713020833333333,0.9563942006391362,ua_mstcn_lite_quantile_forest,7.421574916115684,random_forest,7.47518320777661,0.033112980769230776,0.01117788461538463,0.06418269230769227,stable degradation,positive,0.0237379807692308,0.003155048076923072,0.0345552884615385,0.031400240384615426,1,9,0,0.006149338721323379,0.0038169268147072682,0.033935112855666624,stable degradation,-0.7199481706491143,-3.460092841563966,1.029460849374103,not stable,negative,0.1902056677654732,-0.06943866022883638,0.3688221097330049,0.43826076996184127,4,6,0,-8.89543107980979,-11.574656322785138,2.3331898560576976,not stable,-52.4,-153.3025,60.702499999999965,not stable,negative,-108.5,-141.0,-2.0,139.0,7,3,0,205.64201798160212,-184.08250763499876,251.40994291911477,not stable,0.4987257234286428,-0.7914656474684485,1.823981287264196,not stable,positive,0.4771998862774618,-0.03146688187975749,0.7664966482397272,0.7979635301194847,4,6,0,-2.293105259868335,-3.675275061541837,3.9943529331710783,not stable,False,mainline_reference
broad,139,0.9726581235011991,0.9931704124547266,linear_regression,32.570520874606736,persistence,33.38126270576519,0.013848056170448255,0.0035408091795794128,0.027112877006087437,stable degradation,positive,0.0036057692307692995,0.0,0.008713942307692301,0.008713942307692301,27,101,11,0.0025736774974788406,-0.00571278970530123,0.012496103446903401,not stable,-2.633069417800343,-6.952694994571448,2.328307930601446,not stable,negative,-8.175623632450282,-17.666625838879163,2.215803011799622,19.882428850678785,95,44,0,4.61855766805784,-4.981028823181467,15.025583659692593,not stable,150.44604316546761,114.04946043165468,184.993345323741,stable degradation,positive,193.0,22.5,295.0,272.5,32,107,0,-0.5674840316669573,-64.25736129283152,68.2446545052356,not stable,13.524665988405797,7.87064797831656,20.04009059147215,stable degradation,positive,0.6018016684022562,-6.054418355330398,20.283310267010236,26.337728622340634,67,72,0,37.72366947448304,21.94740949966048,53.57055786291252,stable degradation,True,promote_to_main_result
