app_du,horizon,p50_coverage,p90_coverage,interval_width
app_141,1,0.49460431654676257,0.920263788968825,37.58418824018409
app_141,5,0.4891826923076923,0.9116586538461539,42.40079855874282
app_141,10,0.49969861362266427,0.8890898131404461,44.62517348880122
app_7876,1,0.3920863309352518,0.8609112709832134,19.736486651469928
app_7876,5,0.4176682692307692,0.8545673076923077,48.459894147089656
app_7876,10,0.38637733574442434,0.8583484026522001,53.53892125138652
app_3073,1,0.4904076738609113,0.8782973621103117,0.6193429259445155
app_3073,5,0.48677884615384615,0.8762019230769231,0.6154168658036896
app_3073,10,0.48523206751054854,0.8788426763110307,0.6209002113696809
app_1063,1,0.5269784172661871,0.9958033573141487,13.08140514350426
app_1063,5,0.5186298076923077,0.9945913461538461,13.50422751201921
app_1063,10,0.5352622061482821,0.9933694996986137,13.423928760297477
app_512,1,0.5137889688249401,0.9154676258992805,3.9745561780084193
app_512,5,0.5252403846153846,0.9134615384615384,3.9903632893250767
app_512,10,0.5081374321880651,0.9107896323086196,4.020948321738541
app_565,1,0.5011990407673861,0.8806954436450839,3.8652305169647163
app_565,5,0.5102163461538461,0.8713942307692307,3.8481743520015685
app_565,10,0.512959614225437,0.8794454490657022,3.8660432101065885
app_3641,1,0.2949640287769784,0.761990407673861,2.0781436677905982
app_3641,5,0.2848557692307692,0.7091346153846154,1.9147209856667546
app_3641,10,0.2332730560578662,0.5762507534659433,1.575540844379651
app_2241,1,0.5173860911270983,0.9106714628297362,5.666796505684231
app_2241,5,0.5138221153846154,0.9104567307692307,5.544216991379233
app_2241,10,0.5099457504520796,0.9017480409885473,5.589420062509105
app_6658,1,0.5083932853717026,0.9094724220623501,7.477395062524521
app_6658,5,0.5150240384615384,0.9068509615384616,7.482282239560876
app_6658,10,0.5033152501506932,0.9005424954792043,7.321672016251423
app_1826,1,0.4958033573141487,0.8830935251798561,1.6837166881333232
app_1826,5,0.5036057692307693,0.8780048076923077,1.711997924543693
app_1826,10,0.49668474984930683,0.8716094032549728,1.7998894667942293
