model_name,horizon,mae_mean,mae_std,rmse_mean,mape_mean,latency_ms_mean
linear_regression,1,5.665529808975228,7.252175310589458,10.079232430103158,0.3017702357264226,28.826254047453403
persistence,1,6.220664028776978,7.482906348818612,10.568914502135133,0.36501084277770524,0.6772255524992943
mlp_regressor,1,6.353399341295593,8.556121503799895,11.435127226580175,0.30565402438583006,487.13660426437855
ua_mstcn_lite_quantile_forest,1,6.633622933550393,9.244939935704283,15.595215281572099,0.2879396682459848,6089.675564070543
random_forest,1,6.657633888505392,9.415669694951085,15.79127935738621,0.28819099305690854,6426.9956251606345
ua_mstcn_lite_quantile_forest,5,7.406946178229456,10.854752038263864,17.138985846163997,0.29280352173721436,6105.71266890814
random_forest,5,7.64277726847764,11.537330718792795,17.184971601660553,0.29672019857422904,6640.48577491194
linear_regression,5,7.999766465304495,12.447923729673182,16.26230015932991,0.32034957616592996,17.522349953651428
persistence,5,8.127792761752136,10.827873180577535,17.46190053693193,0.3857343311338922,0.7075866684317589
mlp_regressor,5,8.656543584393642,14.096654586952235,18.084901518703774,0.32745452097877226,407.3195708915591
random_forest,10,8.1251384663468,12.421380481950793,18.030176131897694,0.3029957994243471,6728.92349511385
ua_mstcn_lite_quantile_forest,10,8.224155636567204,12.437600116633432,18.424522240690276,0.30435463462727774,6141.436534312865
linear_regression,10,9.621645983146795,16.30320678262537,20.01264829377911,0.3334112013213195,22.18767162412405
persistence,10,10.179549581407809,15.249151156873216,22.82879861298716,0.40136688714943264,0.6638873368501663
mlp_regressor,10,10.523361219059321,18.569269575443244,22.664092240620782,0.33991883619344704,489.71308320760727
