app_du,selection_role,policy_name,model_name,horizon,request_cores_source,request_cores_used,request_fallback_used,sla_violation,over_provisioning,under_provisioning,scaling_actions,average_capacity
app_1215,broad_full_service,reactive_service,n/a,5,median_container_request_cores,4.0,False,0.0006009615384615385,26.45479216746789,4.507211538462563e-05,46,77.34786057692305
app_1215,broad_full_service,lagged_tracking_service,n/a,5,median_container_request_cores,4.0,False,0.4879807692307692,0.6123952073317318,0.7653022836538479,1662,58.37417342748404
app_1215,broad_full_service,qlr_predictive_service,quantile_linear_regression,5,median_container_request_cores,4.0,False,0.0006009615384615385,11.807818985963156,0.0023016910043578763,393,70.33259779876495
app_1063,broad_full_service,reactive_service,n/a,5,median_container_request_cores,8.0,False,0.013822115384615384,52.73336067708337,0.13936899038461298,206,160.5456730769233
app_1063,broad_full_service,lagged_tracking_service,n/a,5,median_container_request_cores,8.0,False,0.48978365384615385,4.01768561698719,4.602374674479153,1661,123.55974454126618
app_1063,broad_full_service,qlr_predictive_service,quantile_linear_regression,5,median_container_request_cores,8.0,False,0.01141826923076923,52.731448315420145,0.1994111531664753,346,176.6764707610118
app_1254,broad_full_service,reactive_service,n/a,5,median_container_request_cores,8.0,False,0.015024038461538462,34.11458133012815,0.11136117788461702,275,85.55300480769228
app_1254,broad_full_service,lagged_tracking_service,n/a,5,median_container_request_cores,8.0,False,0.49759615384615385,2.1898278495592987,3.620720878405457,1662,57.8513593249199
app_1254,broad_full_service,qlr_predictive_service,quantile_linear_regression,5,median_container_request_cores,8.0,False,0.006009615384615385,40.67813091118352,0.14186162662211596,346,99.81852163832747
app_1276,broad_full_service,reactive_service,n/a,5,median_container_request_cores,4.0,False,0.021033653846153848,59.44127153445519,0.29982572115383455,110,141.6518990384617
app_1276,broad_full_service,lagged_tracking_service,n/a,5,median_container_request_cores,4.0,False,0.5012019230769231,1.462687424879789,3.783375250400603,1662,92.56633338341356
app_1276,broad_full_service,qlr_predictive_service,quantile_linear_regression,5,median_container_request_cores,4.0,False,0.03245192307692308,27.28140846670255,1.176388708201281,367,120.99204096743564
app_1499,broad_full_service,reactive_service,n/a,5,median_container_request_cores,8.0,False,0.025240384615384616,35.95310897435872,4.054440104166689,203,87.13211538461509
app_1499,broad_full_service,lagged_tracking_service,n/a,5,median_container_request_cores,8.0,False,0.48497596153846156,1.459741962139439,7.4948669370993946,1662,57.483338516626524
app_1499,broad_full_service,qlr_predictive_service,quantile_linear_regression,5,median_container_request_cores,8.0,False,0.030048076923076924,33.940642113765875,4.647355870686353,332,92.81174973466601
app_141,broad_full_service,reactive_service,n/a,5,median_container_request_cores,8.0,False,0.010817307692307692,237.17584234775333,0.20850560897439413,614,801.8170993589696
app_141,broad_full_service,lagged_tracking_service,n/a,5,median_container_request_cores,8.0,False,0.4567307692307692,35.81578983874127,40.78906512920594,1662,644.6039517227546
app_141,broad_full_service,qlr_predictive_service,quantile_linear_regression,5,median_container_request_cores,8.0,False,0.003605769230769231,251.884655007908,0.03497930947844322,373,901.426902711649
app_1658,broad_full_service,reactive_service,n/a,5,median_container_request_cores,4.0,False,0.001201923076923077,77.33508613782048,0.001268028846153974,333,257.0784615384615
app_1658,broad_full_service,lagged_tracking_service,n/a,5,median_container_request_cores,4.0,False,0.48677884615384615,1.8364543269230984,1.5399268579727896,1662,207.00286741286055
app_1658,broad_full_service,qlr_predictive_service,quantile_linear_regression,5,median_container_request_cores,4.0,False,0.0,70.2264006114332,0.0,398,276.93274055534346
app_1552,broad_full_service,reactive_service,n/a,5,median_container_request_cores,4.0,False,0.022235576923076924,107.0283378405448,0.634208733974366,518,325.00891826923066
app_1552,broad_full_service,lagged_tracking_service,n/a,5,median_container_request_cores,4.0,False,0.4723557692307692,8.236875250400708,10.120409179687567,1662,249.52347360777247
app_1552,broad_full_service,qlr_predictive_service,quantile_linear_regression,5,median_container_request_cores,4.0,False,0.010216346153846154,159.0359928838608,0.15744222167655458,348,410.28555819924355
app_1675,broad_full_service,reactive_service,n/a,5,median_container_request_cores,8.0,False,0.022235576923076924,40.487678786057444,0.6345242387820597,268,114.79714743589722
app_1675,broad_full_service,lagged_tracking_service,n/a,5,median_container_request_cores,8.0,False,0.4855769230769231,3.3732846554486833,4.292296799879823,1662,85.26657967748396
app_1675,broad_full_service,qlr_predictive_service,quantile_linear_regression,5,median_container_request_cores,8.0,False,0.04326923076923077,39.51785779148703,1.5789649360058542,343,124.12448467739627
app_17,broad_full_service,reactive_service,n/a,5,median_container_request_cores,4.0,False,0.001201923076923077,9.710966045673059,0.008949318910256576,12,23.444479166666575
app_17,broad_full_service,lagged_tracking_service,n/a,5,median_container_request_cores,4.0,False,0.48497596153846156,0.20869300881410272,0.2413765524839748,1660,15.771148262219466
