app_du,selection_role,model_name,horizon,train_valid_split_end,n_predictions,mae,rmse,mape,p50_pinball,p90_raw_pinball,p90_guarded_pinball,mean_guarded_pinball,p50_coverage,p90_raw_coverage,p90_guarded_coverage,raw_interval_width,guarded_interval_width,raw_crossing_count,raw_crossing_rate,guarded_crossing_count,guarded_crossing_rate,fit_eval_ms,status
app_2557,low_load_low_burst,quantile_linear_regression,1,9792,1668,3.7712409507770683,5.465324914309785,0.01659932259258171,1.8856204753885342,1.0126578670862227,1.0126578670862227,1.4491391712373785,0.5,0.9004796163069544,0.9004796163069544,6.212459994773502,6.212459994773502,0,0.0,0,0.0,14572.901000000456,pass
app_2557,low_load_low_burst,quantile_linear_regression,5,9792,1664,5.300062554608756,7.6586088937355195,0.02352236735809017,2.650031277304378,1.4148294705545628,1.4134244129402127,2.0317278451222953,0.46814903846153844,0.8912259615384616,0.8912259615384616,8.024836251847407,8.026397426974464,2,0.001201923076923077,0,0.0,14339.75190000001,pass
app_2557,low_load_low_burst,quantile_linear_regression,10,9792,1659,6.5463634201857985,9.04055972740347,0.02947438173775864,3.2731817100928993,1.6835108277454847,1.6830870478046192,2.4781343789487593,0.46353224834237494,0.8710066305003014,0.8710066305003014,8.587530377162349,8.58800124376331,1,0.0006027727546714888,0,0.0,14037.866599999688,pass
app_7264,low_load_high_burst,quantile_linear_regression,1,9792,1668,40.948978733836945,55.3977285347096,0.20364882193091985,20.474489366918473,9.443859350359773,9.443859350359773,14.959174358639123,0.5065947242206235,0.9190647482014388,0.9190647482014388,72.26429122512755,72.26429122512755,0,0.0,0,0.0,16568.807799999377,pass
app_7264,low_load_high_burst,quantile_linear_regression,5,9792,1664,56.159537141116694,74.53939568362563,0.2819882976995042,28.079768570558347,12.93327786354355,12.93327786354355,20.506523217050947,0.5132211538461539,0.9020432692307693,0.9020432692307693,98.92617873517497,98.92617873517497,0,0.0,0,0.0,15900.72710000004,pass
app_7264,low_load_high_burst,quantile_linear_regression,10,9792,1659,57.50098624843435,76.49031308197306,0.28785164990804624,28.750493124217176,13.508908601507162,13.508908601507162,21.12970086286217,0.5123568414707655,0.8993369499698614,0.8993369499698614,98.98484001527547,98.98484001527547,0,0.0,0,0.0,15697.52999999946,pass
app_1675,high_load_low_burst,quantile_linear_regression,1,9792,1668,15.65078088997664,50.73894537188591,0.026251337372444096,7.82539044498832,5.097701978790584,5.100854857780797,6.463122651384558,0.5,0.9160671462829736,0.9184652278177458,19.605688890826457,19.777250907055727,16,0.009592326139088728,0,0.0,13737.03419999947,pass
app_1675,high_load_low_burst,quantile_linear_regression,5,9792,1664,32.98408169202316,103.16289451126758,0.06031515640900069,16.49204084601158,11.856043107681854,11.80305794085503,14.147549393433305,0.4891826923076923,0.8810096153846154,0.8894230769230769,27.48776022996666,28.606339443140048,53,0.031850961538461536,0,0.0,13796.704299999874,pass
app_1675,high_load_low_burst,quantile_linear_regression,10,9792,1659,43.79220306624726,132.16793393116652,0.0812397772363254,21.89610153312363,16.646065590520084,16.370108705611408,19.13310511936752,0.484629294755877,0.8571428571428571,0.865581675708258,30.036404078318736,31.23720333159737,41,0.02471368294153104,0,0.0,13557.672400000229,pass
app_3665,high_load_high_burst,quantile_linear_regression,1,9792,1668,19.746028956687645,43.95342488540786,0.019169331391964462,9.873014478343823,6.122404034626156,6.12861954325908,8.000817010801452,0.5011990407673861,0.8998800959232613,0.8998800959232613,26.12362362547917,26.19943862478812,6,0.0035971223021582736,0,0.0,12882.43010000042,pass
app_3665,high_load_high_burst,quantile_linear_regression,5,9792,1664,39.25540499412865,96.88303245901422,0.040466354765880924,19.627702497064323,13.217342646248103,13.228181080844173,16.42794178895425,0.5,0.8774038461538461,0.8774038461538461,41.09461240887098,41.22087882827528,7,0.004206730769230769,0,0.0,13444.468299999244,pass
app_3665,high_load_high_burst,quantile_linear_regression,10,9792,1659,56.84840712539725,133.66593260134542,0.061968567325710495,28.424203562698626,18.522316341637385,18.535429707061336,23.47981663487998,0.4562989752863171,0.8553345388788427,0.8553345388788427,54.979481023032406,55.126240504928425,5,0.0030138637733574444,0,0.0,13455.638699999326,pass
app_521,median_anchor,quantile_linear_regression,1,9792,1668,7.978706872895726,11.588606095249611,0.019399508953761142,3.989353436447863,2.05545239699586,2.05545239699586,3.0224029167218616,0.48201438848920863,0.9256594724220624,0.9256594724220624,14.333811845282371,14.333811845282371,0,0.0,0,0.0,14344.571600000563,pass
app_521,median_anchor,quantile_linear_regression,5,9792,1664,11.533602194041269,17.17850908953872,0.02754393730959583,5.766801097020634,3.248978829507936,3.248978829507936,4.507889963264285,0.4675480769230769,0.9014423076923077,0.9014423076923077,20.270314003365815,20.270314003365815,0,0.0,0,0.0,13559.709799999837,pass
app_521,median_anchor,quantile_linear_regression,10,9792,1659,13.619559553436678,19.672154717792683,0.03313128107512654,6.809779776718339,3.6418020983894563,3.6418020983894563,5.225790937553898,0.47498493068113323,0.8878842676311031,0.8878842676311031,22.90995337372726,22.90995337372726,0,0.0,0,0.0,14132.185299999946,pass
