model_name,horizon,mae_mean,mae_std,rmse_mean,mape_mean,latency_ms_mean
persistence,1,19.01402957633893,8.536654669628664,36.631498483170176,0.07186242244489369,0.6799390539526939
linear_regression,1,19.178165095749506,2.274045894959502,37.91966420709652,0.08169358618827312,20.656917244195938
ua_mstcn_lite_quantile_forest,1,23.855219177530845,4.101396091511407,65.07757217879124,0.07238456177612582,6362.357060735424
random_forest,1,24.16031394735041,4.554721056070024,66.25190748041908,0.07399980900798273,7651.1917086318135
ua_mstcn_lite_quantile_forest,5,27.602499956188552,5.4478010418790825,72.52654029366,0.08715436840366354,6366.143375014265
persistence,5,28.469546741452987,0.11976583333549165,70.62871585052284,0.1187240542974295,0.6953319534659386
random_forest,5,28.961921356169405,7.0778779070853215,72.99940407142284,0.09946642457579312,8475.799624808133
linear_regression,5,30.667095202734394,9.90380448887309,68.47417922794655,0.14255726362783522,16.622415743768215
random_forest,10,31.238453217884945,6.4206158195471215,77.01715791015909,0.10905287300085029,8391.203480772674
ua_mstcn_lite_quantile_forest,10,31.418202302749567,6.027911766722857,78.519043153562,0.10474855743098355,6307.33331417044
persistence,10,38.31579492331391,9.581670163200368,96.7251790217621,0.16523006987183833,0.6982916966080666
linear_regression,10,38.61100869003677,16.700464430750355,86.91748605389297,0.18057429474551456,18.657042644917965
