minute_index,app_du,active_container_count,service_cpu_utilization_mean,service_memory_utilization_mean,service_cpu_used_cores_proxy,service_cpu_request_cores_total,mean_container_mem_size,service_sample_count,service_cpu_utilization_weighted,imputed
1440,app_141,212.0,27.452830188679247,98.44143081761005,465.6,1696.0,3.13,287,27.452830188679247,0
1441,app_141,196.0,27.671343537414966,98.58503401360545,433.88666666666666,1568.0,3.13,273,27.671343537414966,0
1442,app_141,193.0,25.29490500863558,98.67012089810017,390.55333333333334,1544.0,3.1300000000000003,271,25.29490500863558,0
1443,app_141,216.0,23.15779320987654,98.20331790123457,400.1666666666667,1728.0,3.1299999999999994,285,23.157793209876544,0
1444,app_141,217.0,22.960445468509985,98.5910138248848,398.59333333333336,1736.0,3.1299999999999994,311,22.960445468509985,0
1445,app_141,218.0,23.05581039755352,98.26987767584097,402.09333333333336,1744.0,3.1300000000000003,294,23.05581039755352,0
1446,app_141,218.0,23.50038226299694,98.28211009174312,409.8466666666667,1744.0,3.1300000000000003,303,23.500382262996943,0
1447,app_141,212.0,22.851022012578618,98.062106918239,387.55333333333334,1696.0,3.13,290,22.851022012578618,0
1448,app_141,207.0,21.33816425120773,98.32165861513687,353.36,1656.0,3.13,288,21.33816425120773,0
1449,app_141,196.0,22.261479591836736,98.31547619047619,349.06,1568.0,3.13,264,22.261479591836736,0
1450,app_141,206.0,23.85032362459547,98.65008090614887,393.05333333333334,1648.0,3.13,268,23.85032362459547,0
1451,app_141,201.0,21.23839137645108,98.30182421227198,341.5133333333333,1608.0,3.13,280,21.238391376451077,0
1452,app_141,213.0,22.534428794992174,98.34076682316119,383.9866666666667,1704.0,3.13,303,22.534428794992177,0
1453,app_141,189.0,22.185185185185187,98.19179894179894,335.44,1512.0,3.1299999999999994,253,22.185185185185187,0
1454,app_141,201.0,22.769071310116086,98.73217247097844,366.12666666666667,1608.0,3.13,284,22.769071310116086,0
1455,app_141,184.0,22.652173913043477,98.74411231884059,333.44,1472.0,3.13,254,22.652173913043477,0
