minute_index,cluster_cpu_utilization_mean,cluster_memory_utilization_mean,active_machine_count
0,18.42297640774576,87.00596596135692,2133.6666666666665
1,16.82559872816059,86.773171932323,1986.1666666666667
2,15.359166022753461,86.71303800535968,2039.6666666666667
3,15.790528221613274,86.65344182428073,2054.3333333333335
4,16.21639073808416,86.73167964894184,2044.8333333333333
5,18.077814287831604,86.92850706031487,2016.6666666666667
6,26.85036727028574,89.31018638923729,1964.3333333333333
7,32.90649443626202,91.1455952076853,1938.1666666666667
8,32.391498906566945,91.39874831074987,1823.8333333333333
9,29.043710944533657,89.79384728830216,1987.3333333333333
10,31.713745736486214,89.70862188483842,1988.6666666666667
11,29.865096013754016,88.43457003123888,1993.1666666666667
12,27.243976112358457,87.9454024635473,1712.3333333333333
13,27.033690358921245,87.85175526346721,1873.0
14,26.46153054702525,87.2427801068744,2133.0
15,27.411161163450362,87.00289024734793,1979.3333333333333
16,27.699681350412742,87.15710655937066,1952.5
17,31.65083034360738,87.81175211375505,2003.6666666666667
18,32.61117262859026,89.06145499559769,2041.6666666666667
19,32.895149244823074,89.3969739874262,1953.8333333333333
20,31.863385822473436,89.76376122409691,2140.5
21,31.07208336355927,90.18068400737178,2267.8333333333335
22,28.56543980904191,88.35585454514546,2234.0
23,26.605671775441568,88.14441772731674,2208.3333333333335
24,26.97579634593328,88.39523021467097,2182.3333333333335
25,29.013852048680395,89.31344582125206,2067.8333333333335
26,28.858381393844002,89.97893155865053,1868.6666666666667
27,30.45346730399478,90.32178136347908,1889.8333333333333
28,26.420933163053732,89.13643902728386,2076.0
29,26.123034143742927,89.26998217116788,2191.6666666666665
30,29.025499988958074,89.21085523809109,2226.5
31,27.293625520006387,88.67526269079774,2171.3333333333335
32,22.68863353471774,86.66483218417225,2148.3333333333335
33,22.908824785991953,86.13895687745169,2120.1666666666665
34,21.635313147472985,85.78203338256309,2103.0
35,20.885156375684062,85.44580019040819,2169.3333333333335
36,18.602117658112412,84.79604349778354,2197.5
37,21.106635599558803,84.77436236346972,2072.5
38,20.135852126067935,84.84961857616604,2111.3333333333335
39,20.243894437399913,84.93561079851916,2068.6666666666665
40,23.353997867962367,85.8321704909555,2145.0
41,28.55477643897856,87.45334674126752,2136.8333333333335
42,25.27159646507539,87.0226080102302,2140.8333333333335
43,26.11594154784098,87.41627687078477,2159.8333333333335
44,24.672057467635828,86.25322173893666,2187.8333333333335
45,25.480503154368236,86.16097654467619,2204.0
46,23.74513915695718,85.78002815670807,2200.1666666666665
47,24.73868835935619,85.30231700940685,1907.5
48,28.68350859102108,85.84886500158808,1533.3333333333333
49,28.463933655135964,86.58360451442893,1440.6666666666667
50,29.450472102649922,87.27060660711483,1592.6666666666667
51,29.15777032628724,87.15793555132744,1834.5
52,23.885339680811413,86.74991519740378,1899.1666666666667
53,22.27537402750627,86.11235224639444,1956.0
54,21.78357080215663,85.7531274528629,2025.0
55,21.049906392287223,85.90237491119582,1974.0
56,20.66387738994938,86.55187642270157,2116.5
57,23.364935254853545,87.46781727803945,2352.1666666666665
58,19.647674465840392,87.26795996722916,2330.8333333333335
59,20.192570096166577,87.48444152560866,2300.3333333333335
60,23.317461369490474,87.87146367097114,2266.3333333333335
61,24.68105588607921,88.73685737470338,2252.1666666666665
62,25.238712358343193,89.51333097433236,2290.0
63,28.414898004729718,89.86662073039152,2276.1666666666665
64,27.11586151097139,89.5452093728005,2158.1666666666665
65,26.445631390472872,90.13827404298087,2203.6666666666665
66,24.180099445296232,89.06827276251634,2285.0
67,23.26698073577643,88.2281390388996,2247.6666666666665
68,24.450722694643044,87.59565664253232,2240.5
69,21.553532858015455,86.80993586366282,2186.3333333333335
70,22.613167982001595,86.53964374716003,2221.3333333333335
71,19.767527270734206,85.98150822306707,2109.0
72,18.130112771453543,85.62924945161632,2082.5
73,18.688417397947443,85.67428576822057,2168.8333333333335
74,17.331801323433986,85.19082295291612,2184.5
75,20.000385024663046,85.28200852275128,2136.8333333333335
76,27.198141066815186,86.29363516880657,2147.0
77,31.66646656836431,88.78426619143907,2148.8333333333335
78,37.086349365361755,91.2718703650545,2119.1666666666665
79,47.92910797576758,91.06367519494883,2132.6666666666665
80,41.534841427413,90.07491733282858,2147.0
81,35.940561405630284,86.79177314252013,2021.5
82,29.930417535584635,84.59142138914439,2002.8333333333333
83,29.208111861354734,83.91828701711738,1908.5
84,30.30677175181683,83.47967828696565,1912.8333333333333
85,37.720886340995605,83.67992785385846,2115.6666666666665
86,34.396635604653135,83.54033596827573,2175.8333333333335
87,33.362028580563326,83.76519011749717,2178.0
88,35.55269542075706,84.25008029631432,2169.0
89,34.15604990257419,82.94857672032056,2227.5
90,36.052021585978046,84.05355894735312,2266.5
91,36.99288883328909,84.4028811444005,2265.6666666666665
92,36.94422939139212,84.69938100535582,2250.1666666666665
93,41.050068340836674,85.28161534298702,2248.0
94,36.497398451382374,85.25724023574043,2252.8333333333335
95,34.86009250067777,84.07525798984551,2223.8333333333335
96,30.646694308412336,83.27177293400722,2218.3333333333335
97,27.98468153859105,83.0170280313289,2049.6666666666665
98,31.199495374014628,83.12160960353903,1894.1666666666667
99,30.444291493539186,82.80357634563617,2087.3333333333335
100,27.208250136148948,82.01810045652249,2261.8333333333335
101,26.030733005483167,81.77912090693877,2312.5
102,23.649756276544835,81.24155184376147,2198.0
103,24.137029433357117,80.60180157657614,1908.1666666666667
104,31.63955580497657,82.01172567655856,1927.1666666666667
105,29.711546549155226,82.13657583052358,2051.0
106,27.239373506278287,81.86650628162322,2059.6666666666665
