context_window,horizon,mae,rmse
30,1,2.339841916882757,3.2052829424288225
30,5,4.052911945173801,5.3663052333428185
30,10,4.45323349764812,5.877260327611392
60,1,2.348684989544536,3.2136969545347323
60,5,3.986189660743571,5.304426670099237
60,10,4.307909450799962,5.7926478607792395
120,1,2.3362068813140886,3.1956520200122487
120,5,4.019782138589937,5.343718646716455
120,10,4.398322927747963,5.884226870289243
