machine_id,model_name,horizon,mae,rmse,mape,latency_ms
m_3330,persistence,1,3.4965460964561683,4.745592297228798,0.0807126287816941,0.7393751293420792
m_3330,linear_regression,1,3.4852405281758325,4.595534389151353,0.0811309142376211,25.883454829454426
m_3330,random_forest,1,3.513682667041515,4.623035901495186,0.0823758337981949,9267.97529309988
m_3330,ua_mstcn_lite_quantile_forest,1,3.494134418182244,4.650504070136804,0.0811271023767504,6404.00851269563
m_3330,persistence,5,6.201402243589744,8.215996450792517,0.14336886945628,0.8492507040500641
m_3330,linear_regression,5,5.48901713553504,7.032494381860809,0.1290671462045987,16.176166012883186
m_3330,random_forest,5,5.514859904168479,7.026924601906574,0.1301761068683009,9586.596624925733
m_3330,ua_mstcn_lite_quantile_forest,5,5.509139561056603,7.041564519177836,0.1296942089277445,6282.918389265736
m_3330,persistence,10,6.996763445181166,9.079500284148256,0.164002390315625,0.6217490881681442
m_3330,linear_regression,10,5.9779736960917385,7.581602740035708,0.1416691120850229,18.07629130780697
m_3330,random_forest,10,5.985641555793349,7.58153897088619,0.1419527026564985,9495.352832600474
m_3330,ua_mstcn_lite_quantile_forest,10,5.973439443904217,7.528728484476251,0.1419803961030397,6293.45668045183
m_694,persistence,1,2.90746236344258,4.233214701291066,0.0621399279949632,0.7670838385820389
m_694,linear_regression,1,2.9155538680804014,4.08802267247367,0.0608034869402996,16.167039051651955
m_694,random_forest,1,3.896771254297463,4.928997931406212,0.0729771163558192,10169.151874259114
m_694,ua_mstcn_lite_quantile_forest,1,4.443965192263865,5.734537769997574,0.0792665227837515,6509.392082691193
m_694,persistence,5,4.9369160657051285,7.146468467593495,0.1040660273286215,0.6142500787973404
m_694,linear_regression,5,4.7604922464797195,6.45161703790493,0.0955598177352558,16.33441634476185
m_694,random_forest,5,6.934172908077427,8.95005170446478,0.1218557695281354,9529.358875006435
m_694,ua_mstcn_lite_quantile_forest,5,7.104434682961228,9.119178678196915,0.1250570950981254,6492.205999791622
m_694,persistence,10,5.4529204339963835,7.880715901291879,0.1143051015018596,0.6359163671731949
m_694,linear_regression,10,5.387056784919319,7.272760179127149,0.1061731001417819,18.548915162682533
m_694,random_forest,10,7.339004781915516,9.430218387861292,0.1298033529508942,8648.222334682941
m_694,ua_mstcn_lite_quantile_forest,10,7.640641949098605,9.809103473343686,0.134196760353071,6480.829916894436
m_2967,persistence,1,3.4997568611777248,4.834433028087138,0.0916045770700111,0.7750410586595535
m_2967,linear_regression,1,3.52643289877343,4.7422393078399985,0.092803649159822,17.834914848208427
m_2967,random_forest,1,3.5413876704523877,4.721223347653254,0.094391292082203,8350.124668329954
m_2967,ua_mstcn_lite_quantile_forest,1,3.5433409781577274,4.764732665363494,0.0930931237198345,6346.48416750133
m_2967,persistence,5,6.466371193910257,8.673046954487493,0.1681526056558362,0.9056683629751204
m_2967,linear_regression,5,5.6548653263378545,7.418459914779852,0.1497548382433067,19.266415387392044
m_2967,random_forest,5,5.587095003434336,7.343899465499168,0.1491493631324464,8224.54783320427
m_2967,ua_mstcn_lite_quantile_forest,5,5.556485450999234,7.385188432625744,0.146863943057413,6243.76075156033
m_2967,persistence,10,7.292498827941865,9.722563184937451,0.1919058594502109,0.8321236819028854
m_2967,linear_regression,10,6.009985977078084,7.992883919729382,0.161257416020821,32.69079141318798
m_2967,random_forest,10,6.009341634670651,8.02861408893409,0.1608537147626262,8171.979917213321
m_2967,ua_mstcn_lite_quantile_forest,10,5.923653804457,7.978254259774432,0.1564141059889827,6340.708706527948
m_2773,persistence,1,4.737291833200107,6.514667701475137,0.1935449413071095,0.7812529802322388
m_2773,linear_regression,1,4.3233370322347,5.758469203601829,0.1816673243271766,15.855876728892326
m_2773,random_forest,1,4.358315133575084,5.732630704714828,0.1892108184476966,8040.156833827496
m_2773,ua_mstcn_lite_quantile_forest,1,4.294440068602046,5.76081986054355,0.1820124781185148,6021.669304619233
m_2773,persistence,5,6.553575721153846,8.758216592488612,0.2681682688603565,0.6979145109653473
m_2773,linear_regression,5,5.377526578266876,7.108489395734692,0.2338371755210777,15.325291082262993
m_2773,random_forest,5,5.440674403838312,7.103740957623192,0.2440089067096864,8292.58062504232
m_2773,ua_mstcn_lite_quantile_forest,5,5.42235393198712,7.190252859590966,0.2354173325817813,6090.683013821642
m_2773,persistence,10,6.963667872212175,9.296023538040297,0.2926707772901412,0.6766635924577713
m_2773,linear_regression,10,5.511235911596628,7.383512691058524,0.24689782227775,19.27337422966957
m_2773,random_forest,10,5.594060504469184,7.4691021187695155,0.2565389762582213,8333.326250314713
m_2773,ua_mstcn_lite_quantile_forest,10,5.544233190530301,7.522501756988101,0.2465545529412663,6017.671555901567
m_2014,persistence,1,4.189684918731682,5.845345536773503,0.1074815499948551,0.956457108259201
m_2014,linear_regression,1,4.228437164452549,5.727320159701571,0.1091105318050086,15.659000724554062
m_2014,random_forest,1,6.609257259048201,9.229115556270242,0.1348028665959588,7734.348623082042
m_2014,ua_mstcn_lite_quantile_forest,1,7.29537948751702,10.68841316104479,0.1414243698714038,6042.371389145653
m_2014,persistence,5,6.365676749465812,9.332311954217529,0.1680914705275221,0.7834173738956451
m_2014,linear_regression,5,6.431154734346782,9.1472120094825,0.1683566488547458,17.3929575830698
m_2014,random_forest,5,9.77976292856785,13.777489876547364,0.2037937166527364,8843.193791806698
m_2014,ua_mstcn_lite_quantile_forest,5,10.012652553315844,14.346442232754224,0.2023575974756298,6110.8710548530025
m_2014,persistence,10,7.439575380081709,11.099338554454365,0.1978861807333759,0.6890818476676941
m_2014,linear_regression,10,7.451576690258332,10.878847320096332,0.1928663303181644,24.230126291513443
m_2014,random_forest,10,10.313801203602733,14.347266184683123,0.2221720207712073,9503.67029197514
m_2014,ua_mstcn_lite_quantile_forest,10,10.803099245118132,15.307164999203792,0.2240108266828151,6098.874180267255
m_103,persistence,1,3.5642885691446846,4.979708891623795,0.1198409152506431,0.6430819630622864
m_103,linear_regression,1,3.462808612616422,4.705387156647523,0.1187047063452804,14.630330726504326
m_103,random_forest,1,3.507190052094166,4.754951250498994,0.1209160112026137,8239.057499915361
m_103,ua_mstcn_lite_quantile_forest,1,3.489473958591191,4.7868082743202836,0.1190171920127849,6420.740318174164
m_103,persistence,5,6.301554153311965,8.458736357885675,0.2162014393501041,0.668499618768692
m_103,linear_regression,5,5.357697037009923,7.057637052221246,0.1886726692847727,14.966292306780815
m_103,random_forest,5,5.345907366231673,7.052760148568273,0.1898464442225488,8842.41695702076
