machine_id,horizon,p50_coverage,p90_coverage,interval_width
m_3330,1,0.5431654676258992,0.9274580335731415,6.994547716001546
m_3330,5,0.5330528846153846,0.8737980769230769,8.785303638865084
m_3330,10,0.5286317058468957,0.8728149487643159,9.466502477011293
m_694,1,0.40167865707434053,0.7416067146282974,6.56941080359541
m_694,5,0.4296875,0.6911057692307693,7.981071391532423
m_694,10,0.41229656419529837,0.6817359855334539,8.575729633224901
m_2967,1,0.5515587529976019,0.9220623501199041,7.218308845701836
m_2967,5,0.5823317307692307,0.8719951923076923,9.03446860627499
m_2967,10,0.5744424352019288,0.8788426763110307,9.571744049023355
m_2773,1,0.5629496402877698,0.9214628297362111,8.101694889694649
m_2773,5,0.5751201923076923,0.9098557692307693,9.473525121962247
m_2773,10,0.543701024713683,0.9107896323086196,9.764635762826172
m_2014,1,0.4286570743405276,0.7535971223021583,7.936741727017201
m_2014,5,0.42788461538461536,0.7385817307692307,10.327524755834446
m_2014,10,0.4165159734779988,0.7227245328511152,10.730934604864883
m_103,1,0.5221822541966427,0.9400479616306955,7.932027187515219
m_103,5,0.5655048076923077,0.9092548076923077,9.822161212967764
m_103,10,0.5635925256178421,0.9077757685352622,10.348209812791712
m_639,1,0.5437649880095923,0.9400479616306955,7.428268672956802
m_639,5,0.5552884615384616,0.9008413461538461,9.489415630692825
m_639,10,0.5744424352019288,0.8908981314044605,9.907185847815065
m_3244,1,0.44064748201438847,0.8333333333333334,6.77471729021008
m_3244,5,0.4561298076923077,0.7878605769230769,9.081550840367383
m_3244,10,0.44665461121157324,0.7739602169981917,9.224336355796869
m_1508,1,0.540167865707434,0.9304556354916067,6.866981056208989
m_1508,5,0.5540865384615384,0.8822115384615384,8.908423859878635
m_1508,10,0.5557564798071127,0.8673899939722725,9.509850204018935
m_2366,1,0.5275779376498801,0.9106714628297362,8.546716489849208
m_2366,5,0.5402644230769231,0.8798076923076923,10.336291123827541
m_2366,10,0.5280289330922242,0.8698010849909584,10.598991211411217
m_1223,1,0.5287769784172662,0.9418465227817746,8.396132855644847
m_1223,5,0.5318509615384616,0.9020432692307693,10.087448696646991
m_1223,10,0.538878842676311,0.9065702230259193,10.497914366164594
m_2165,1,0.526378896882494,0.9280575539568345,7.576900580584691
m_2165,5,0.5306490384615384,0.8852163461538461,9.171742437730018
m_2165,10,0.5268233875828813,0.8794454490657022,9.699141926986902
