model_name,horizon,mae_mean,mae_std,rmse_mean,mape_mean,latency_ms_mean
linear_regression,1,3.6334937182795435,0.4609607311147931,4.925918067100892,0.10088537789531395,16.84440579265356
persistence,1,3.7163334610089707,0.5471423043345218,5.184980757873329,0.10278275098872175,0.7283093097309271
mlp_regressor,1,3.920740957580635,0.4257938226074122,5.246282805788837,0.10941448064173387,583.2633677249154
random_forest,1,4.012395621286743,0.9023617489917706,5.39604727652371,0.10666475587701209,8256.421486071
ua_mstcn_lite_quantile_forest,1,4.120980032803401,1.1011789581664317,5.646650420440484,0.10631727892095467,6269.587783712065
linear_regression,5,5.520275706078735,0.43822144647366407,7.317651090167815,0.15297038171273783,21.57009377454718
mlp_regressor,5,5.845011198076374,0.5770162092481709,7.683013536228533,0.15898342873293553,458.4055379964411
random_forest,5,6.169955629290322,1.3356162108262561,8.222597756203433,0.16175992529515126,8222.042086999863
ua_mstcn_lite_quantile_forest,5,6.244394680263048,1.4517755851800236,8.422873220831294,0.16065704327321714,6273.69922456435
persistence,5,6.268153239627849,0.5756798333659507,8.497119693071896,0.172179056719983,0.935121439397335
linear_regression,10,5.965862840798292,0.5640230942618142,7.95928700394436,0.16540730386441502,20.85111119473974
mlp_regressor,10,6.301307249820837,0.7918748981851492,8.324068543758196,0.17170159421233797,433.3878190567096
random_forest,10,6.5483564020393485,1.4200119279420178,8.744892594743995,0.17287456874387,8321.745579751829
ua_mstcn_lite_quantile_forest,10,6.65121784861994,1.5370984808408825,8.935584914820167,0.17248141740552514,6268.791106633013
persistence,10,6.931813732056348,0.5955108475918086,9.389849300192035,0.1916759715167852,0.7321766267220179
